,Name,Geometry,Address,Description,Lattitude,Longitude,Category
0,O'reilly William & Co Ltd,POINT (-73.96273074561996 40.773800871637576),52 E 76th St,,-73.96273074561996,40.773800871637576,Art_Gallery
1,Organization of Independent Artists - Gallery 402,POINT (-74.0093857886298 40.71646850931738),19 Hudson St.,,-74.0093857886298,40.71646850931738,Art_Gallery
2,Owen Gallery,POINT (-73.96435178145856 40.7740008522409),19 E 75th St,,-73.96435178145856,40.7740008522409,Art_Gallery
3,P P O W Gallerie,POINT (-74.00389261044238 40.74958540084406),511 W 25th St,,-74.00389261044238,40.74958540084406,Art_Gallery
4,P P O W Inc,POINT (-74.00176389614576 40.72290742771331),476 Broome St,,-74.00176389614576,40.72290742771331,Art_Gallery
5,P S 122 Gallery,POINT (-73.98437148002196 40.72816774159305),150 1st Ave,,-73.98437148002196,40.72816774159305,Art_Gallery
6,Pace Editions,POINT (-73.99437670706857 40.73920194963794),44 W 18th St,,-73.99437670706857,40.73920194963794,Art_Gallery
7,Pace MacGill Gallery,POINT (-73.97202174911459 40.76194965113893),32 E. 57th St.,,-73.97202174911459,40.76194965113893,Art_Gallery
8,Pace Prints & Primitive Gallery,POINT (-73.97211461855828 40.76183646853851),32 E. 57th St.,,-73.97211461855828,40.76183646853851,Art_Gallery
9,Pace Wildenstein,POINT (-74.00495117630976 40.749448279774704),534 W 25th St,,-74.00495117630976,40.749448279774704,Art_Gallery
10,Pace Wildenstein,POINT (-73.97207691758459 40.761886074501135),32 E 57th St,,-73.97207691758459,40.761886074501135,Art_Gallery
11,Paige's Art Gallery,POINT (-73.95927392718306 40.815000699601086),3163 Broadway,,-73.95927392718306,40.815000699601086,Art_Gallery
12,PaineWebber Gallery,POINT (-73.98058386642786 40.76118894257876),1285 Sixth Ave.,,-73.98058386642786,40.76118894257876,Art_Gallery
13,Paint Can Studios,POINT (-73.92794008275476 40.755157871293065),3608 34th St,,-73.92794008275476,40.755157871293065,Art_Gallery
14,Paley Barbara K,POINT (-73.98148007125768 40.76637001937273),1776 Broadway,,-73.98148007125768,40.76637001937273,Art_Gallery
15,Pall William Inc,POINT (-73.96481233836307 40.764508738680895),188 E 64th St,,-73.96481233836307,40.764508738680895,Art_Gallery
16,Palmer Meredith Gallery,POINT (-73.95482248967467 40.78563341564519),40 E 94th St,,-73.95482248967467,40.78563341564519,Art_Gallery
17,Pandora Old Masters,POINT (-73.9608164118453 40.76789235225353),212 E 70th St,,-73.9608164118453,40.76789235225353,Art_Gallery
18,Pardo Sheenan Galleries Ltd,POINT (-73.98156101599031 40.74489610149597),121 E 31st St,,-73.98156101599031,40.74489610149597,Art_Gallery
19,Parker's Box,POINT (-73.9604447082016 40.714309158269266),193 Grand St,,-73.9604447082016,40.714309158269266,Art_Gallery
20,Parsons Galleries,POINT (-73.9947818620198 40.73539495311296),2 W. 13th St.,,-73.9947818620198,40.73539495311296,Art_Gallery
21,Patricia Laligant Photographs,POINT (-73.99282054710083 40.74676020721873),150 W 28th St,,-73.99282054710083,40.74676020721873,Art_Gallery
22,Patrick's Gallery,POINT (-73.99851017182027 40.741868777110206),220 W 19th St,,-73.99851017182027,40.741868777110206,Art_Gallery
23,Paul Kasmin Gallery,POINT (-74.00272285706035 40.75019275007833),293 10th Ave,,-74.00272285706035,40.75019275007833,Art_Gallery
24,Paula Cooper Gallery,POINT (-74.0068977266516 40.74691990132535),534 W. 21st St.,,-74.0068977266516,40.74691990132535,Art_Gallery
25,Peck Ian Fine Paintings Ltd,POINT (-73.9636501275563 40.77476053223472),980 Madison Ave,,-73.9636501275563,40.77476053223472,Art_Gallery
26,Peder Bonnier Inc,POINT (-73.99623914232185 40.7440599458188),206 W 23rd St,,-73.99623914232185,40.7440599458188,Art_Gallery
27,Perimeter Gallery,POINT (-74.00389939402838 40.74938125319496),511 W 25th St,,-74.00389939402838,40.74938125319496,Art_Gallery
28,Perlow Rich Katharina Gallery Inc,POINT (-73.97163996489826 40.76236540983018),41 E 57th St,,-73.97163996489826,40.76236540983018,Art_Gallery
29,Peter L Villa Fine Art,POINT (-73.97029437215403 40.761169700561084),110 E 57th St,,-73.97029437215403,40.761169700561084,Art_Gallery
30,Peter Rose Gallery,POINT (-73.96690494675263 40.760575546804205),200 E 58th St,,-73.96690494675263,40.760575546804205,Art_Gallery
31,Peters Gerald Gallery,POINT (-73.96316937082618 40.775663560369196),24 E 78th St,,-73.96316937082618,40.775663560369196,Art_Gallery
32,Phoenix Design Ltd,POINT (-73.77059062315153 40.76366854810639),21415 41st Ave,,-73.77059062315153,40.76366854810639,Art_Gallery
33,Phoenix Gallery,POINT (-74.00599166531202 40.749775251812174),210 ELEVENTH AVENUE,,-74.00599166531202,40.749775251812174,Art_Gallery
34,Phoneup,POINT (-73.9950260483218 40.71651671861807),55 Chrystie St,,-73.9950260483218,40.71651671861807,Art_Gallery
35,Photo & Art Gallery,POINT (-73.75339446579802 40.60296210069956),1023 Beach 20th St,,-73.75339446579802,40.60296210069956,Art_Gallery
36,Photo Collection Gagliardi,POINT (-73.99269646708568 40.7406376655353),27 W 20th St,,-73.99269646708568,40.7406376655353,Art_Gallery
37,Photo District Gallery,POINT (-73.99310574442202 40.74080485280703),37 W 20th St,,-73.99310574442202,40.74080485280703,Art_Gallery
38,Phyllis Lucas Gallery Inc,POINT (-73.96795085870986 40.75614508447523),981 2nd Ave,,-73.96795085870986,40.75614508447523,Art_Gallery
39,Picture This Corporate Art,POINT (-73.99260350161633 40.68324193641588),249 Smith Street,,-73.99260350161633,40.68324193641588,Art_Gallery
40,Pierogi 2000,POINT (-73.95578160004416 40.718750345970065),177 N 9th St,,-73.95578160004416,40.718750345970065,Art_Gallery
41,Place Des Vosges,POINT (-73.99094407977347 40.73276121745574),816 Broadway,,-73.99094407977347,40.73276121745574,Art_Gallery
42,Plane Space,POINT (-74.00518362849395 40.73439963410778),102 Charles St,,-74.00518362849395,40.73439963410778,Art_Gallery
43,Plaster Palace,POINT (-73.98315035383828 40.62575957274058),5305 18th Ave,,-73.98315035383828,40.62575957274058,Art_Gallery
44,Plaza Holding Inc,POINT (-73.9757536168505 40.762158820594074),15 W 55th St,,-73.9757536168505,40.762158820594074,Art_Gallery
45,Plaza Holding Inc,POINT (-73.97568005712148 40.76226036307528),15 W 55th St,,-73.97568005712148,40.76226036307528,Art_Gallery
46,Plaza Watch & Jewelry Exchange,POINT (-73.97867413980654 40.7652614379812),145 W 57th St,,-73.97867413980654,40.7652614379812,Art_Gallery
47,Pleiades Gallery,POINT (-74.004770690104 40.74937493397012),530 W 25th St,,-74.004770690104,40.74937493397012,Art_Gallery
48,Plum Blossom Gallery,POINT (-74.0053735768785 40.7501763280434),555 W 25th St,,-74.0053735768785,40.7501763280434,Art_Gallery
49,Polizzi Fine Art,POINT (-74.02860202478092 40.628876223412206),7813 3rd Ave,,-74.02860202478092,40.628876223412206,Art_Gallery
50,Poller Leah,POINT (-73.99973975533851 40.72417671147656),98 Greene St,,-73.99973975533851,40.72417671147656,Art_Gallery
51,Portara Gallery,POINT (-73.76753263900895 40.75653978324558),4720A Bell Blvd,,-73.76753263900895,40.75653978324558,Art_Gallery
52,Portico Fine Art,POINT (-74.0008266559124 40.724259321517835),139 Spring St,,-74.0008266559124,40.724259321517835,Art_Gallery
53,Portrait Gallery,POINT (-73.92228135415756 40.60993574125617),5100 Kings Plz,,-73.92228135415756,40.60993574125617,Art_Gallery
54,Postmasters Gallery,POINT (-74.00534660392837 40.745202434263945),459 W 19th St,,-74.00534660392837,40.745202434263945,Art_Gallery
55,Praxis International Art,POINT (-73.96513542144585 40.77277684295719),25 E 73rd St,,-73.96513542144585,40.77277684295719,Art_Gallery
56,Prieto International Attorney In Fact Johnpoll,POINT (-74.00723565260127 40.71024984423636),127 Fulton St,,-74.00723565260127,40.71024984423636,Art_Gallery
57,Prince Street Gallery,POINT (-74.00469480010908 40.749337897473445),530 W 25th St,,-74.00469480010908,40.749337897473445,Art_Gallery
58,Professional Fine Arts Svces Inc,POINT (-73.99573169554829 40.74191723417448),141 W 20th St,,-73.99573169554829,40.74191723417448,Art_Gallery
59,Proposition the,POINT (-74.00714842024912 40.74820539748208),162 11th Ave,,-74.00714842024912,40.74820539748208,Art_Gallery
60,Public Art Fund,POINT (-73.97518753856254 40.760375484073926),1 E. 53d St.,,-73.97518753856254,40.760375484073926,Art_Gallery
61,Puerto Rican Work Shop Inc,POINT (-73.94672759344712 40.7926998453047),121 E 106th St,,-73.94672759344712,40.7926998453047,Art_Gallery
62,Pushman Gallery Inc,POINT (-73.979913078835 40.76499908899108),154 W 57th St,,-73.979913078835,40.76499908899108,Art_Gallery
63,Pytlak Art Studio,POINT (-73.94988527250548 40.71427612774082),573 Metropolitan Ave,,-73.94988527250548,40.71427612774082,Art_Gallery
64,Queen Art Publishers Inc,POINT (-74.00979549289632 40.72549195065175),481 Washington St,,-74.00979549289632,40.72549195065175,Art_Gallery
65,Questroyal Fine Art,POINT (-73.96001773937685 40.77572380172859),903 Park Ave,,-73.96001773937685,40.77572380172859,Art_Gallery
66,Rabenou Yris Ancient Arts,POINT (-73.96383620358236 40.762223977689416),249 E 61st St,,-73.96383620358236,40.762223977689416,Art_Gallery
67,Radio House Gallery,POINT (-74.00698522749778 40.75178267196637),601 W 26th St,,-74.00698522749778,40.75178267196637,Art_Gallery
68,Rafael Gallery,POINT (-73.96484847311721 40.76106891398838),241 E 59th St,,-73.96484847311721,40.76106891398838,Art_Gallery
69,Rainbow Fine Art Inc,POINT (-73.96108478026073 40.77866480998064),15 E 82nd St,,-73.96108478026073,40.77866480998064,Art_Gallery
70,Ralph Chait Galleries Inc,POINT (-73.97472467424907 40.76269798806097),724 5th Ave,,-73.97472467424907,40.76269798806097,Art_Gallery
71,Randel Gallery Inc,POINT (-73.96194182288089 40.77557044121497),49 East 78th Street,,-73.96194182288089,40.77557044121497,Art_Gallery
72,Randolph & Tate Assocs,POINT (-73.98804680373928 40.74435684322828),234 5th Ave,,-73.98804680373928,40.74435684322828,Art_Gallery
73,Raphael Fodde Editions,POINT (-73.98997735599107 40.70208740023595),70 WASHINGTON ST,,-73.98997735599107,40.70208740023595,Art_Gallery
74,Rare art Gallery,POINT (-74.00368999417438 40.75021572567968),521 W 26th St Bsmt,,-74.00368999417438,40.75021572567968,Art_Gallery
75,Raydon Gallery,POINT (-73.96032667632238 40.77833720539059),1091 Madison Ave,,-73.96032667632238,40.77833720539059,Art_Gallery
76,Red Dot,POINT (-73.99505920460594 40.74274457506512),140 W 22nd St,,-73.99505920460594,40.74274457506512,Art_Gallery
77,Reece Galleries Inc The,POINT (-73.97570995606252 40.7633560679256),24 W 57th St,,-73.97570995606252,40.7633560679256,Art_Gallery
78,Reeves Contemporary Inc,POINT (-74.00518820857934 40.74928257893011),535 W 24th St,,-74.00518820857934,40.74928257893011,Art_Gallery
79,Regina's Art Center,POINT (-74.00172859190214 40.603379984260826),1921 Benson Ave,,-74.00172859190214,40.603379984260826,Art_Gallery
80,Rehs Galleries Inc,POINT (-73.973110440921 40.76297400449145),5 E 57th St,,-73.973110440921,40.76297400449145,Art_Gallery
81,Reinhold Brown Gallery,POINT (-73.96068894272547 40.77864024499883),1100 Madison Ave,,-73.96068894272547,40.77864024499883,Art_Gallery
82,Renaissance Gallery,POINT (-73.94134747495355 40.82412358361577),300 W 147th St,,-73.94134747495355,40.82412358361577,Art_Gallery
83,Resnick Ira Inc,POINT (-73.96881061087802 40.76189452972676),133 E 58th St,,-73.96881061087802,40.76189452972676,Art_Gallery
84,Ricco Maresca Gallery,POINT (-74.0068465345964 40.74661224727327),529 W 20th St,,-74.0068465345964,40.74661224727327,Art_Gallery
85,Richard Gray Gallery,POINT (-73.96268744300946 40.776035116594834),1018 Madison Ave,,-73.96268744300946,40.776035116594834,Art_Gallery
