yyyy,mm,tmax degC,tmin degC,af days,rain mm,sun hours,tmax degF,tmin degF,monthly total precip,monthly total snowfall
1948,1,,,,,,45,0,4.74,15.3
1948,2,,,,,,59,6,2.52,13.6
1948,3,,,,,,74,9,3.51,4.8
1948,4,,,,,,75,32,3.26,0
1948,5,,,,,,87,45,7.58,0
1948,6,,,,,,92,52,5.52,0
1948,7,,,,,,94,59,4.51,0
1948,8,,,,,,103,62,2.99,0
1948,9,,,,,,89,49,1.28,0
1948,10,,,,,,80,36,1.51,0
1948,11,,,,,,74,33,3.17,T
1948,12,,,,,,58,10,6.28,25.3
1949,1,,,,,,61,20,6.04,1.8
1949,2,,,,,,73,17,3.58,10.7
1949,3,,,,,,75,18,1.66,4.2
1949,4,,,,,,79,36,4.42,0
1949,5,,,,,,92,45,3.41,0
1949,6,,,,,,96,52,0.02,0
1949,7,,,,,,102,62,4.21,0
1949,8,,,,,,100,55,4.29,0
1949,9,,,,,,87,48,3.43,0
1949,10,,,,,,88,42,1.92,0
1949,11,,,,,,74,23,0.96,0.5
1949,12,,,,,,63,21,2.28,1.3
1950,1,,,,,,72,16,2.26,0.4
1950,2,,,,,,51,6,4.44,8.5
1950,3,,,,,,67,11,2.73,1.4
1950,4,,,,,,76,26,1.66,1.9
1950,5,,,,,,82,40,2.66,0
1950,6,,,,,,95,48,2.18,0
1950,7,,,,,,94,60,4.24,0
1950,8,,,,,,88,57,4.97,0
1950,9,,,,,,87,41,1.48,0
1950,10,,,,,,86,38,1.71,0
1950,11,,,,,,84,28,4.24,T
1950,12,,,,,,60,9,4.32,3.8
1951,1,,,,,,64,11,3.31,0.9
1951,2,,,,,,64,11,3.05,1.9
1951,3,,,,,,62,24,5.62,2.7
1951,4,,,,,,84,37,2.44,0
1951,5,,,,,,90,45,4.93,0
1951,6,,,,,,89,51,2.97,0
1951,7,,,,,,94,61,3.67,T
1951,8,,,,,,91,56,2.53,0
1951,9,,,,,,85,41,0.7,0
1951,10,,,,,,84,42,3.77,0
1951,11,,,,,,68,22,6.49,T
1951,12,,,,,,64,8,4.28,3.3
1952,1,,,,,,60,8,4.55,6.2
1952,2,,,,,,51,17,1.38,2.8
1952,3,,,,,,64,23,4,7.4
1952,4,,,,,,82,34,5.1,0
1952,5,,,,,,83,43,4.78,0
1952,6,,,,,,100,58,3.64,0
1952,7,,,,,,97,62,3.32,0
1952,8,,,,,,90,54,4.63,0
1952,9,,,,,,94,52,2.05,0
1952,10,,,,,,80,33,0.94,0.5
