Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
Honest Burgers Old Street,American,4.5,Â£Â£,6 Baldwin St,51.5266208,-0.0887512,https://www.yelp.com/biz/honest-burgers-london-12?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,h2dQU58SLEKzHnloz0FTuQ
Dip & Flip,American,4,Â£Â£,87 Battersea Rise,51.460881,-0.167547,https://www.yelp.com/biz/dip-and-flip-battersea?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,QMSWcWkS510OwJPLGMtDgw
Honest Burgers South Kensington,American,4.5,Â£Â£,24 Thurloe St,51.49435721,-0.173549415,https://www.yelp.com/biz/honest-burgers-london-27?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ErQc9MSdo_TwFNseZnOcQg
Gourmet Burger Kitchen,American,4,Â£Â£,13-14 Maiden Lane,51.5105876,-0.1230541,https://www.yelp.com/biz/gourmet-burger-kitchen-london-9?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,onz9q1c7U8_yYaucVd4tKQ
Burger and Shake,American,4,Â£Â£,47 Marchmont Street,51.525005,-0.125415,https://www.yelp.com/biz/burger-and-shake-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8gqkjHd2E7PHYWNfw0DVvg
Byron,American,4,Â£Â£,97-99 Wardour Street,51.512782,-0.133756,https://www.yelp.com/biz/byron-london-13?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5li906_RsGktEs0pfAu65g
Tommi's Burger Joint,American,4,Â£Â£,30 Thayer Street,51.5176716,-0.1512931,https://www.yelp.com/biz/tommis-burger-joint-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yZq1yMtECVxMr1gmT3j6PQ
Meat & Shake,American,4,Â£Â£,17 The Green,51.511023,-0.305191,https://www.yelp.com/biz/meat-and-shake-ealing?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8TZnN5cI1f9D4glmXqk7cw
Byron,American,3.5,Â£Â£,24-28 Charing Cross Rd,51.51079559,-0.128187999,https://www.yelp.com/biz/byron-london-8?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Nkz5BhCJFV-3Tgv_mAGSkQ
Dip & Flip- Wimbledon,American,4.5,Â£,62 The Broadway,51.4197473,-0.2027887,https://www.yelp.com/biz/dip-and-flip-wimbledon-wimbledon?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,o36QGeErTq7-OKE8DnIF1A
