,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,The Abingdon,American (New),4.5,£££,54 Abingdon Road,51.497629045444,-0.19607751802576,https://www.yelp.com/biz/the-abingdon-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Gdqq0f4R8pBXIcHvAI3SuQ
1,Burger & Lobster,American (Traditional),4.5,££,Fifth Floor Harvey Nichols,51.501441,-0.159432,https://www.yelp.com/biz/burger-and-lobster-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ITcGz_zdMW3EyqNBJx6Fxw
2,The Fat Bear,American (Traditional),4.5,££,61 Carter Lane,51.5131833881734,-0.10138103121642,https://www.yelp.com/biz/the-fat-bear-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z0r83lDOA1mI8RpNccXtHw
3,Burger & Lobster,American (Traditional),4.5,£££,29 Clarges Street,51.5069919134923,-0.145631313738818,https://www.yelp.com/biz/burger-and-lobster-mayfair?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,otUz0bAJLkorJkMgEjRErA
4,La Patagonia,Argentine,4.0,££,31 Camden High Street,51.5352268,-0.139339,https://www.yelp.com/biz/la-patagonia-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ywge_9fnX-kedFSZWApAVw
5,Oka,Asian Fusion,4.5,££,71 Regents Park Road,51.5412318,-0.1573922,https://www.yelp.com/biz/oka-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,h1pstufojfFZzWSwck4aWw
6,Dominique Ansel Treehouse,Bakeries,,,24 Floral Street,51.5119045680643,-0.12540479881136,,
7,Texas Joe's,Barbeque,4.5,££,8-9 Snowsfields,51.5021870502811,-0.0837731201888271,https://www.yelp.com/biz/texas-joes-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pPp2J-a4uAa60cBR4OFGkw
8,The Alchemist,Bars,,,63-66 St Martin's Ln,51.5112707779066,-0.126947910714945,,
9,Duck & Waffle Local,Bars,4.5,££,52 Haymarket,51.5094175706263,-0.132749820495633,https://www.yelp.com/biz/duck-and-waffle-local-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,a4FkZ2b7Wn3-AP7q3ptHtQ
