,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Ariana Afghan Kebab Restaurant,Afghan,4.0,$$,787 9th Ave,40.76515,-73.98813,https://www.yelp.com/biz/ariana-afghan-kebab-restaurant-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IFZ3_d01uflGixWrrD8_gg
1,Paradis Des Gouts,African,4.5,$$,1136 Broadway,40.693329999999996,-73.92931,https://www.yelp.com/biz/paradis-des-gouts-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,r_QEUVdoo8dsKR9fK31w3w
2,Ivy,American (New),4.0,$$,944 8th Ave,40.765751,-73.98316700000001,https://www.yelp.com/biz/ivy-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gvWzAiMrFm9AgfSN2I8Miw
3,South Brooklyn Foundry,American (New),4.5,$$,6909 3rd Ave,40.63539,-74.02601999999999,https://www.yelp.com/biz/south-brooklyn-foundry-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MKMx5TAmzXfjgLdXgu6FVQ
4,The Hutton,American (New),4.5,$$,225 Hutton St,40.746707841753995,-74.0555749833584,https://www.yelp.com/biz/the-hutton-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gt-0HkY2DC-NscmhOsKOWw
5,The Odeon,American (New),4.0,$$$,145 W Broadway,40.71692,-74.00792,https://www.yelp.com/biz/the-odeon-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,P2CTp4xyaNCe2AXSiLeOSQ
6,Carla,American (New),5.0,$$,25-03 40th Avenue,40.75351,-73.93764,https://www.yelp.com/biz/carla-long-island-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uQ0kF3fiJFDm0oDVRaMBkw
7,The Smith,American (New),4.0,$$,956 2nd Ave,40.755165000000005,-73.96786800000001,https://www.yelp.com/biz/the-smith-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,C-8mGN7lt5rIraO5n-15ug
8,White Oak Tavern,American (New),4.0,$$,21 Waverly Pl,40.73036,-73.99462,https://www.yelp.com/biz/white-oak-tavern-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mVN2G1c5bRtAsNlr2Tbx6Q
9,Connolly's Pub & Restaurant,American (New),3.5,$$,14 E 47th St,40.75618,-73.97771999999999,https://www.yelp.com/biz/connollys-pub-and-restaurant-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xbd3lfDIz5nLagWWVTPO-g
10,The Smith,American (New),4.0,$$$,1150 Broadway,40.744240000000005,-73.98878,https://www.yelp.com/biz/the-smith-new-york-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xd_l7jtUAZZAAvK8-mI2Jw
11,Perry St,American (New),4.0,$$$,176 Perry St,40.73442,-74.00971,https://www.yelp.com/biz/perry-st-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2VpurA2lb-q90nmALklNcA
12,Formerly Crow's,American (New),4.0,$$,85 Washington Pl,40.7322,-74.00003000000001,https://www.yelp.com/biz/formerly-crows-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bJBDLBZiak_pCI5CuvAfAA
13,Fine & Rare,American (New),4.5,$$$,9 E 37th St,40.750175476074205,-73.98219299316409,https://www.yelp.com/biz/fine-and-rare-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xk3BVvlX-KXh6kJhbClMKw
14,Five Mile Stone,American (New),3.5,$$,1640 2nd Ave,40.7772804,-73.9519665,https://www.yelp.com/biz/five-mile-stone-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ggZczl_F-L4FvZk3jpNR3Q
15,The OX Tavern,American (New),4.0,$$,1301 Newkirk Ave,40.634890000000006,-73.96497,https://www.yelp.com/biz/the-ox-tavern-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,I8U2B8O3uXhhXYhRrOH_Xg
16,Beauty & Essex,American (New),4.0,$$$,146 Essex St,40.720434786101286,-73.98686057623863,https://www.yelp.com/biz/beauty-and-essex-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pfmAcS-g6SiNG0KlLvrqnA
