,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Hart's Restaurant,American (New),4.0,$$$,506 Franklin Ave,40.68146,-73.95589,https://www.yelp.com/biz/harts-restaurant-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zXCGF0XtqjOv1s4DUHOtqg
1,While We Were Young,American (New),4.0,$$,183 W 10th St,40.73437,-74.00272,https://www.yelp.com/biz/while-we-were-young-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YSflX6shqcP3zYno0Zz75Q
2,Electric Lemon,American (New),4.0,$$$,33 Hudson Yards,40.754553,-74.002057,https://www.yelp.com/biz/electric-lemon-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OBRYVNn2FRhVCCadoFepBQ
3,David Burke TImeout Market,American (New),,,55 Water St,40.7034191,-73.992147,,
4,Electric Lemon,American (New),4.0,$$$,33 Hudson Yards,40.754553,-74.002057,https://www.yelp.com/biz/electric-lemon-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OBRYVNn2FRhVCCadoFepBQ
5,Merchants River House,American (New),4.0,$$,375 S End Ave,40.7112882252543,-74.0176175854584,https://www.yelp.com/biz/merchants-river-house-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XAeGAF5MGr7P6A13SnXbjQ
6,Beauty & Essex,American (New),4.0,$$$,146 Essex St,40.720434786101286,-73.98686057623863,https://www.yelp.com/biz/beauty-and-essex-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pfmAcS-g6SiNG0KlLvrqnA
7,Madre,American (New),4.5,$$$,214 Franklin St,40.73311,-73.95798,https://www.yelp.com/biz/madre-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,utM-5navObsVA5sCRHobzA
8,Malibu Farm,American (New),4.0,$$,89 S St,40.705925,-74.001749,https://www.yelp.com/biz/malibu-farm-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SWK0AQ5KTDDCt8AtOhhasg
9,The Wild Son,American (New),4.5,$$,132 First Ave,40.727424,-73.985201,https://www.yelp.com/biz/the-wild-son-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,N5UY113nNpeKdLPv0cbMjQ
10,Atrium Dumbo,American (New),4.0,$$,15 Main St,40.7033899,-73.9904923,https://www.yelp.com/biz/atrium-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hmdm-dO72hLsMQwQRcGEUQ
11,Sweetwater Restaurant,American (New),4.0,$$,105 N 6th St,40.7184736,-73.9600178,https://www.yelp.com/biz/sweetwater-restaurant-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8wMJdpw2R_4VfS55itB_gQ
12,Westville Dumbo,American (New),4.0,$$,81 Washington St,40.70208865020039,-73.9894541379247,https://www.yelp.com/biz/westville-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,56qlj1cYlqNzmG0xllGg-w
13,Traif,American (New),4.5,$$$$,229 S 4th St,40.710658,-73.958872,https://www.yelp.com/biz/traif-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qLLxS7RwNEjP_jq_KQrPfA
14,Esme,American (New),4.5,$$,999 Manhattan Ave,40.73322607409529,-73.95492695812946,https://www.yelp.com/biz/esme-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6gzQLjzJk25ePm_JS7ZAug
15,Momofuku Noodle Bar - Uptown,American (New),4.0,$$,10 Columbus Cir,40.76847,-73.983092,https://www.yelp.com/biz/momofuku-noodle-bar-uptown-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Pr-q47vsmM4aoc2t_Sfk8w
16,The Spaniard,American (New),4.0,$$,190 W 4th St,40.7327497,-74.0021829,https://www.yelp.com/biz/the-spaniard-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XO3yD87rTPz9o6Dy9qRaJg
17,The Leroy House,American (New),4.5,$$$,430 Hudson St,40.73063,-74.00661,https://www.yelp.com/biz/the-leroy-house-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AA9wpuJRhkSHUePAiv3otA
18,Otis,American (New),5.0,$$,18 Harrison Pl,40.706011,-73.932598,https://www.yelp.com/biz/otis-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RfxOtJ4SQmEeVX_XjFLWUQ
