Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
Connolly's Pub & Restaurant,American,3.5,$$,121 W 45th St,40.757371,-73.98358,https://www.yelp.com/biz/connollys-pub-and-restaurant-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ue0hsTh2cULI4vU2I0p7jA
Satyr Grill,American,3.5,$,1109 Cypress Ave,40.6960902,-73.8994532,https://www.yelp.com/biz/satyr-grill-ridgewood?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pMdGxqqo_bJQNwvwj2XpcA
Houston's Restaurant,American,4.0,$$$,1 Riverside Sq Mall,40.905192,-74.03111899999999,https://www.yelp.com/biz/houstons-restaurant-hackensack-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,43w_Xf2HWy5z8ilkPI8cLQ
Westville - Wall St,American,4.0,$$,110 Wall St,40.70478,-74.00652,https://www.yelp.com/biz/westville-wall-st-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xefmiLAsKURFc6FDGSRgfQ
Fanelli's Cafe,American,3.5,$$,94 Prince St,40.724634,-73.998776,https://www.yelp.com/biz/fanellis-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ru1SNTniUClsnDWy4MNsfw
Dark Horse,American,4.0,$$,17 Murray St,40.713718,-74.008036,https://www.yelp.com/biz/dark-horse-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bJdS98j_HTfyg-xUlu6V5A
Meadowsweet,American,4.0,$$$,149 Broadway,40.7103995,-73.96323840000001,https://www.yelp.com/biz/meadowsweet-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,56nGFQ5PVuGErwcAR34QAw
Onieals,American,4.0,$$,343 Park Ave,40.7416,-74.03224,https://www.yelp.com/biz/onieals-hoboken?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LbhYkhIOG5Vq-q9PbLcNnA
Redds Restaurant & Biergarten,American,3.5,$$,317 Washington Ave,40.817331,-74.065861,https://www.yelp.com/biz/redds-restaurant-and-biergarten-carlstadt-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8QVodl0JGDNyJmtBa8hChA
McQuades Neighborhood Grill,American,3.5,$$,275 Merrick Rd,40.65756,-73.67012,https://www.yelp.com/biz/mcquades-neighborhood-grill-lynbrook?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,umDSO3r5_E9HfGR5QQij3g
Bronx Alehouse,American,4.0,$$,216 W 238th St,40.88463170000001,-73.89970500000001,https://www.yelp.com/biz/bronx-alehouse-bronx-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ciHt5n5rmpby1YcC_6JVrg
Cobblestones Pub and Biergarten,American,3.5,$$,11718 Queens Blvd,40.715062200000006,-73.8327231,https://www.yelp.com/biz/cobblestones-pub-and-biergarten-forest-hills?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xkz2uUnAM2ckYIUqxI0NPw
Blind Tiger Ale House,American,4.0,$$,281 Bleecker St,40.731926,-74.00322299999999,https://www.yelp.com/biz/blind-tiger-ale-house-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PMp7WlHIXQUnej-Ds1jRfw
Phebe's,American,3.5,$$,359 Bowery,40.72681,-73.9912901,https://www.yelp.com/biz/phebes-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pffG9Ciyks5Xik7opl2bEw
Grande Saloon,American,3.5,$$,940 Van Houten Ave,40.864835600000006,-74.1597348,https://www.yelp.com/biz/grande-saloon-clifton?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,WCCY222sLsRfiNh6TQgfrw
Mudville9,American,3.5,$$,126 Chambers St,40.71520852817451,-74.00891920000001,https://www.yelp.com/biz/mudville9-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,L0g4PLqpgWz0OkpGFbUTZA
Zeppelin Hall,American,3.5,$$,88 Liberty View Dr,40.715132087537,-74.04667189924,https://www.yelp.com/biz/zeppelin-hall-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,P5X8K61nDAlo8QrgCn-agQ
Beatstro,American,4.0,$$,135 Alexander Ave,40.80737,-73.92752,https://www.yelp.com/biz/beatstro-bronx?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,g_Zz87qghqq9bKHiKyws0w
