,Names,Geometry,Address,Lattitude,Longitude,Category,Details
0,O'reilly William & Co Ltd,POINT (-73.96273074561996 40.773800871637576),52 E 76th St,-73.96273074562,40.7738008716376,Art_Gallery,Learn more at :http://www.nyc.com/arts__attractions/oreilly_william__co_ltd.806/whats_nearby.aspx
1,Organization of Independent Artists - Gallery 402,POINT (-74.0093857886298 40.71646850931738),19 Hudson St.,-74.0093857886298,40.7164685093174,Art_Gallery,Learn more at :http://www.nonprofitgallery.com/main/usa/ny/oia.html
2,Owen Gallery,POINT (-73.96435178145856 40.7740008522409),19 E 75th St,-73.9643517814586,40.7740008522409,Art_Gallery,Learn more at :http://www.owengallery.com/about-us
3,P P O W Gallerie,POINT (-74.00389261044238 40.74958540084406),511 W 25th St,-74.0038926104424,40.7495854008441,Art_Gallery,Learn more at :http://www.ppowgallery.com/
4,P P O W Inc,POINT (-74.00176389614576 40.72290742771331),476 Broome St,-74.0017638961458,40.7229074277133,Art_Gallery,Learn more at :http://www.nyc.com/arts__attractions/p_p_o_w_inc.260/whats_nearby.aspx
5,P S 122 Gallery,POINT (-73.98437148002196 40.72816774159305),150 1st Ave,-73.984371480022,40.728167741593,Art_Gallery,Learn more at :http://ps122gallery.org/
6,Pace Editions,POINT (-73.99437670706857 40.73920194963794),44 W 18th St,-73.9943767070686,40.7392019496379,Art_Gallery,Learn more at :http://www.ziplocal.com/companies/103327232-Pace-Editions
7,Pace MacGill Gallery,POINT (-73.97202174911459 40.76194965113893),32 E. 57th St.,-73.9720217491146,40.7619496511389,Art_Gallery,Learn more at :http://www.pacemacgill.com/exhibitions.html
8,Pace Prints & Primitive Gallery,POINT (-73.97211461855828 40.76183646853851),32 E. 57th St.,-73.9721146185583,40.7618364685385,Art_Gallery,Learn more at :http://www.paceprints.com/
9,Pace Wildenstein,POINT (-73.97207691758459 40.761886074501135),32 E 57th St,-73.9720769175846,40.7618860745011,Art_Gallery,Learn more at :http://www.pacewildenstein.com/
10,Pace Wildenstein,POINT (-74.00495117630976 40.749448279774704),534 W 25th St,-74.0049511763098,40.7494482797747,Art_Gallery,Learn more at :http://www.pacewildenstein.com/
11,Pace Wildenstein,POINT (-73.97207691758459 40.761886074501135),32 E 57th St,-73.9720769175846,40.7618860745011,Art_Gallery,Learn more at :http://www.pacewildenstein.com/uploads/exhibitions/keith%20tyson_with%20images_new.pdf
12,Pace Wildenstein,POINT (-74.00495117630976 40.749448279774704),534 W 25th St,-74.0049511763098,40.7494482797747,Art_Gallery,Learn more at :http://www.pacewildenstein.com/uploads/exhibitions/keith%20tyson_with%20images_new.pdf
13,Paige's Art Gallery,POINT (-73.95927392718306 40.815000699601086),3163 Broadway,-73.9592739271831,40.8150006996011,Art_Gallery,Learn more at :http://www.nyc.com/arts__attractions/paiges_art_gallery.1731/editorial_review.aspx
14,PaineWebber Gallery,POINT (-73.98058386642786 40.76118894257876),1285 Sixth Ave.,-73.9805838664279,40.7611889425788,Art_Gallery,Learn more at :http://www.tfaoi.com/aa/1aa/1aa458.htm
15,Paint Can Studios,POINT (-73.92794008275476 40.755157871293065),3608 34th St,-73.9279400827548,40.7551578712931,Art_Gallery,Learn more at :http://ny.serviceslisted.com/1655944-PaintCanStudios.htm
16,Paley Barbara K,POINT (-73.98148007125768 40.76637001937273),1776 Broadway,-73.9814800712577,40.7663700193727,Art_Gallery,Learn more at :http://www.nyc.com/arts__attractions/paley_barbara_k.796/map_location.aspx
17,Pall William Inc,POINT (-73.96481233836307 40.764508738680895),188 E 64th St,-73.9648123383631,40.7645087386809,Art_Gallery,Learn more at :http://local.botw.org/New_York/New_York/Pall_William_Inc/56447150.html
18,Palmer Meredith Gallery,POINT (-73.95482248967467 40.78563341564519),40 E 94th St,-73.9548224896747,40.7856334156452,Art_Gallery,Learn more at :http://www.artinfo.com/galleryguide/12649/1149/meredith-palmer-gallery-ltd/visit/
19,Pandora Old Masters,POINT (-73.9608164118453 40.76789235225353),212 E 70th St,-73.9608164118453,40.7678923522535,Art_Gallery,Learn more at :http://www.salondudessin.com/an/anpandora.html
20,Pardo Sheenan Galleries Ltd,POINT (-73.98156101599031 40.74489610149597),121 E 31st St,-73.9815610159903,40.744896101496,Art_Gallery,Learn more at :http://web2.userinstinct.com/30816848-pardo-sheenan-galleries-ltd.htm
21,Parker's Box,POINT (-73.9604447082016 40.714309158269266),193 Grand St,-73.9604447082016,40.7143091582693,Art_Gallery,Learn more at :http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf
22,Parsons Galleries,POINT (-73.9947818620198 40.73539495311296),2 W. 13th St.,-73.9947818620198,40.735394953113,Art_Gallery,Learn more at :http://www.parsonswest.com/
23,Patricia Laligant Photographs,POINT (-73.99282054710083 40.74676020721873),150 W 28th St,-73.9928205471008,40.7467602072187,Art_Gallery,Learn more at :http://www.patricialaligant.com/intro.htm
24,Patrick's Gallery,POINT (-73.99851017182027 40.741868777110206),220 W 19th St,-73.9985101718203,40.7418687771102,Art_Gallery,Learn more at :http://outalot.com/listings/318942-Patricks-Gallery
25,Paul Kasmin Gallery,POINT (-74.00272285706035 40.75019275007833),293 10th Ave,-74.0027228570603,40.7501927500783,Art_Gallery,Learn more at :http://www.paulkasmingallery.com/
26,Paula Cooper Gallery,POINT (-74.0068977266516 40.74691990132535),534 W. 21st St.,-74.0068977266516,40.7469199013253,Art_Gallery,Learn more at :http://www.paulacoopergallery.com/
