AmenityType,Borough,CommunityBoard,CouncilDistrict,GISPropNum,Hours,LanguageCode,MountingSurface,NameText,OMPPropID,ParkDistrict,Precinct,PropertyLocation,PropertyName,SecondLanguage,SignCode,SignCodeWithLanguage,SignStatus,SignType,SubPropertyName,System,ThirdLanguage,ZIPCode,point
Tennis Courts Hours (3100),B,302,35,B407,,XX-005,"Chain Link Fence - 2""",,,B-02,88,S. Oxford St. bet. Commos and Atlantic Ave.,South Oxford Park,Spanish,3100,3100-005,Installed,Consolidated Rules Sign,,29518,Chinese,11217,POINT (-73.97221651386997 40.6837452969671)
Comfort Station,B,305,42,B246,,XX-008,Wall,,,B-05,75,Wortman Ave. between Jerome St. and Warwick St.,Jerome Playground,Spanish,,,Surveyed,Consolidated Rules Sign,,29342,Russian,11207,POINT (-73.87942267860943 40.65887353308622)
Existing Routed Sign,B,304,37,B429,,XX-005,"Chain Link Fence - 2""",,,B-04,83,Knickerbocker Ave. between Grove St. and Menahan St.,Hope Ballfield,Spanish,,,Installed,Routed Sign,,29251,Chinese,11237,POINT (-73.91653583105577 40.69765472677161)
Combo: Playground / Court (2602),X,208,11,X186,,XX-001,"Chain Link Fence - 2""",,,X-08,50,Hudson Manor Ter bet. W 237 St and W 236 St,Riverdale Playground,Spanish,2602,2602-001,Installed,Consolidated Rules Sign,,,French,10463,POINT (-73.91562298197564 40.88801838729849)
Comfort Station – M + Accessible + Family (1810),X,208,11,X152,,XX-001,Wall,,,X-08,50,W. 254 St. bet. Riverdale Ave. and Mosholu Ave.,Vinmont Veteran Park,Spanish,1810,1810-001,Installed,Consolidated Rules Sign,,32601,French,10471,POINT (-73.90483435292455 40.902150811243665)
Park with Dog Run; No Off Leash (2403),M,103,2,M088,,XX-005,Wrought Iron / Steep Picket Fence,,,M-03,9,"Ave. A To Ave. B, E. 7 St. To E. 10 St.",Tompkins Square Park,Spanish,2403,2403-005,Surveyed,Consolidated Rules Sign,,34241,Chinese,10009,POINT (-73.98086465875838 40.72570522352505)
Map,M,164,6,M010,,,"Chain Link Fence - 2""",,M010-ZN06,M-13,22,"5 Av To Central Park W, 59 St To 110 St",Central Park,,,,Surveyed,Wayfinding Sign,Heckscher Ballfields & Playground,48791,,83,POINT (-73.97694337497968 40.769370356908276)
Comfort Station – W (1801),Q,413,27,Q082,,XX-007,Wall,,,Q-13,105,Robard La. bet. Hollis Ave. and Montery St.,Wayanda Park,Spanish,1801,1801-007,Installed,Consolidated Rules Sign,,27189,French Creole,11429,POINT (-73.7390128979919 40.71084457900851)
Park with Dog Run; No Off Leash (2403),Q,402,26,Q141,,XX-005,"Chain Link Fence - 2""",,,Q-02,108,"45 Ave., 45 Rd. bet. 11 St. and 21 St.",Murray Playground,Spanish,2403,2403-005,Installed,Consolidated Rules Sign,,27015,Chinese,11101,POINT (-73.94865526362571 40.747471856700784)
Comfort Station  – M (1800),Q,404,25,Q041,,XX-005,Wall,,,Q-04,110,"56 Ave., 92 St.",Newtown Playground,Spanish,1800,1800-005,Installed,Consolidated Rules Sign,,26290,Chinese,11373,POINT (-73.86982740404162 40.73618292023093)
