,Lodging,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Minicabit,Airport Shuttles,,,80-83 Long Lane,51.5195401,-0.0986683,,
1,Twelve Transfers,Airport Shuttles,,,,51.5371932983398,0.0706439986824989,,
2,William Hemming Associates,Apartment Agents,,,,51.4924392700195,-0.165040001273155,,
3,skylark B & B,Bed & Breakfast,,,297 Bath Rd,51.4719334,-0.3822922,,
4,Budget Car Rental,Car Rental,,,Northrop Road,51.479901,-0.431261,,
5,Juliette's Guest House,Guest Houses,,,29 Dawson Pl,51.512094,-0.197425,,
6,The Windmill Guest House,Guest Houses,3.0,££,57 Cricklewood Broadway,51.5535221,-0.2119243,https://www.yelp.com/biz/the-windmill-guest-house-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,KDfl9NmXb4Er_bdXQyqRLg
7,Fantastic Cleaners,Home Cleaning,,,Tooley Street,51.5044038,-0.0824881,,
8,Homeclean,Home Cleaning,,,271 Eversholt Street,51.534176,-0.1383,,
9,3pleclean,Home Cleaning,,,,51.506420135498,-0.127210006117821,,
10,Restup,Hostels,,,172 New Kent Road,51.4938653720948,-0.0906588734718525,,
11,The Dictionary Hostel,Hostels,,,12-20 Kingsland Road,51.5277074573188,-0.0778712770395991,,
12,Sohostel,Hostels,,,91 Dean Street,51.5150779089329,-0.133680928287407,,
13,Leman Locke,Hotels,4.5,£££,15 Leman Street,51.5145665,-0.0710777,https://www.yelp.com/biz/leman-locke-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ba9zwE0V_gj_JaIgdxe8sA
14,Point A Hotel London - Westminster,Hotels,,,118-120 Westminster Bridge Rd,51.4991150896639,-0.112530402839184,,
15,DoubleTree By Hilton Hotel London - Victoria,Hotels,3.5,£££,2 Bridge Place,51.4939289134206,-0.143322030594069,https://www.yelp.com/biz/doubletree-by-hilton-hotel-london-victoria-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wvO3KoWHOZW4sMebZohsjw
16,DoubleTree by Hilton Hotel London - West End,Hotels,3.0,££,92 Southampton Row,51.5202715055578,-0.121863203559605,https://www.yelp.com/biz/doubletree-by-hilton-hotel-london-west-end-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rCAmc_cKX5KAUHrZ9MUepg
17,Columbia Hotel,Hotels,3.5,££,95-99 Lancaster Gate,51.5114958,-0.1795872,https://www.yelp.com/biz/columbia-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Kgop6RGkXKoBP7dHSDXCCg
18,88 Studios,Hotels,3.5,££,88 Holland Road,51.4992798,-0.2091135,https://www.yelp.com/biz/88-studios-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Hl46n5tO4SvTRNOQ85kukA
19,CitizenM Hotel,Hotels,4.5,££,20 Lavington Street,51.5051155599748,-0.098283347856649,https://www.yelp.com/biz/citizenm-hotel-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1tyiyRStaEuq_0hBc6ypCg
20,Thistle Kensington Gardens,Hotels,3.0,££,104 Bayswater Road,51.5109254,-0.1838732,https://www.yelp.com/biz/thistle-kensington-gardens-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nIPi8iSdlG3SlpRL0_ePtw
21,Holiday Inn ,Hotels,3.5,££,Carburton Street,51.5225489331923,-0.142724030932378,https://www.yelp.com/biz/holiday-inn-london-27?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hLzmh0Lq2cHJDDntlnNeuw
22,Residence Inn by Marriott,Hotels,4.0,££,201 - 211 Long Lane,51.4987162467047,-0.0841357962951861,https://www.yelp.com/biz/residence-inn-by-marriott-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VWTYSnuV3IDJJjSk7kzMkw
23,Thistle City Barbican Hotel,Hotels,3.0,££,120 Central Street,51.5274751,-0.0969153,https://www.yelp.com/biz/thistle-city-barbican-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xawtwMNiOkskcvgQohFUNQ
24,Holiday Inn London - Kensington,Hotels,2.5,£££,Wrights Lane,51.4988245259061,-0.191950977925019,https://www.yelp.com/biz/holiday-inn-london-kensington-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ut5NZhcbl1bElj1JEIPmTg
25,The Kensington Hotel,Hotels,4.5,£££,109 - 113 Queen's Gate,51.492559,-0.1780645,https://www.yelp.com/biz/the-kensington-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hGJkHYD10mPIh-R_xrUQNg
26,Pembury Hotel,Hotels,,,326 - 328 Seven Sisters Road,51.56598,-0.10204,,
