,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Oka,Asian Fusion,4.5,££,71 Regents Park Road,51.5412318,-0.1573922,https://www.yelp.com/biz/oka-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,h1pstufojfFZzWSwck4aWw
1,Bintang Restaurant,Asian Fusion,4.0,££,93 Kentish Town Road,51.5435936,-0.1419243,https://www.yelp.com/biz/bintang-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U7r1uvzMlxrykH15ebt7lQ
2,Street Hawker Restaurant,Asian Fusion,4.5,££,166 Randolph Avenue,51.5301528,-0.1863199,https://www.yelp.com/biz/street-hawker-restaurant-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1vk1jic2_jaciKPSG6Hy4w
3,Toa Kitchen,Asian Fusion,,,100 Queensway,51.5133324,-0.1874503,,
4,Firecracker,Asian Fusion,4.0,££,44 Horseferry Road,51.4949849,-0.1271241,https://www.yelp.com/biz/firecracker-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,y9MWERu8ULGHhMKaDn8F2Q
5,Chai Ki,Asian Fusion,4.0,££,Crossrail Place,51.506224381971,-0.0180665979703719,https://www.yelp.com/biz/chai-ki-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,cLyL7ABwhjdkQcREkeOCEw
6,Rapsa,Asian Fusion,4.5,££,100-104 Hoxton Street,51.5310648658011,-0.0800106030410461,https://www.yelp.com/biz/rapsa-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gJAFSUO7U70GQJFo3ynRUw
7,Banana Tree,Asian Fusion,4.0,££,75-79 Battersea Rise,51.460635,-0.166301,https://www.yelp.com/biz/banana-tree-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RaIZ-cnvuSM3wLDuQkl-aw
8,Ugly Dumpling,Asian Fusion,4.0,£,1 Newburgh St,51.5133607300913,-0.138424393301966,https://www.yelp.com/biz/ugly-dumpling-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,lDEdhPc3g6h9klL31ROMng
9,KIN,Asian Fusion,4.0,££,88 Leather Lane,51.521448855755,-0.10987964543908,https://www.yelp.com/biz/kin-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uSmXcq26qSXpsoLyog_nlA
10,Momowich,Asian Fusion,4.5,£,9 Carthusian Street,51.5205756735942,-0.0980528444051743,https://www.yelp.com/biz/momowich-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MXS9sVOtxhIK_bOc6E6zqQ
11,Red Farm,Asian Fusion,,,9 Russell Street,51.5125004024429,-0.121643789123097,,
12,E&O,Asian Fusion,4.0,£££,14 Blenheim Crescent,51.5158364710502,-0.205848282245171,https://www.yelp.com/biz/e-and-o-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qsQAO0i1z8qlQMECyDyitQ
13,Sticky Mango,Asian Fusion,,,33 Coin Street,51.5060829,-0.1098249,,
14,Duck & Waffle Local,Bars,4.5,££,52 Haymarket,51.5094175706263,-0.132749820495633,https://www.yelp.com/biz/duck-and-waffle-local-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,a4FkZ2b7Wn3-AP7q3ptHtQ
15,The Table,British,4.0,££,83 Southwark Street,51.505604,-0.099671,https://www.yelp.com/biz/the-table-london-8?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rKwkCvsSfp8z7w1CmNnMMQ
16,Dou Dou,Buffets,4.5,£,Camden Town,51.5396299521655,-0.1422534,https://www.yelp.com/biz/dou-dou-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CEPduoos73caV6mfrtxH-A
17,Lahpet,Burmese,4.5,£££,58 Bethnal Green Road,51.524186,-0.073046,https://www.yelp.com/biz/lahpet-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,F0n2qpJxlhynqX5LzDm5hA
