,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Bbar,African,4.5,££,43 Buckingham Palace Road,51.497974,-0.143766,https://www.yelp.com/biz/bbar-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,R5t27MqnxMsO9Hu6KPXFlw
1,Hammer & Tongs,African,,,171 Farringdon Road,51.5243835449219,-0.110131002962589,,
2,African Volcano,African,5.0,£,36 Maltby Street,51.4991264343262,-0.0758310034871101,https://www.yelp.com/biz/african-volcano-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zQO1er4vt3BophwhWX6eJA
3,The Blues Kitchen,American (New),4.5,££,40 Acre Lane,51.4605150821635,-0.119194015860558,https://www.yelp.com/biz/the-blues-kitchen-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZTom_9Coox493K9iDcFECQ
4,StickyWings,American (New),4.0,£,40 Brick Lane,51.518271,-0.071176,https://www.yelp.com/biz/stickywings-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AHGIVwDvv9lgTeEDPrjeHw
5,One Sixty City,American (New),5.0,££,9 Stoney Lane,51.51551,-0.0777396,https://www.yelp.com/biz/one-sixty-city-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,aQOl3zuLaqr5Dq84uYyAcQ
6,Hard Rock Cafe,American (New),,,Great Cumberland Pl,51.51421,-0.15934,,
7,Bodean's BBQ - Covent Garden,American (Traditional),4.0,££,25 Catherine Street,51.5124966450812,-0.120510984176618,https://www.yelp.com/biz/bodeans-bbq-covent-garden-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YwBhs979gCnWG3nWY0jIfw
8,Red Dog Saloon,American (Traditional),3.5,££,37 Hoxton Square,51.527391991854,-0.080643577066601,https://www.yelp.com/biz/red-dog-saloon-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ioz1_So1Xa5kSYD5nVW0cQ
9,Bar BBQ On Ice,American (Traditional),4.5,££,Exchange Square,51.519744,-0.0805419,https://www.yelp.com/biz/bar-bbq-on-ice-gt-lon?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6g37KkMpkSgDY_VEeISUpg
10,Grillshack,American (Traditional),3.5,££,Suite 61,51.512701797302,-0.136934024828512,https://www.yelp.com/biz/grillshack-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,g3YOsSjzK2Zy3YhjbLhRvA
11,Lazybones,American (Traditional),4.0,££,Unit 5 Cowcross Place,51.5201513,-0.1038259,https://www.yelp.com/biz/lazybones-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VYuXjndCRj5YKIrjpvhpyA
12,Bodean's,American (Traditional),4.0,££,D'Arblay House,51.514481362499,-0.13676105637839,https://www.yelp.com/biz/bodeans-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Fa9718rkbQuMh3DYgvsSYw
13,The Blues Kitchen,American (Traditional),4.0,££,134-146 Curtain Road,51.526559,-0.080234,https://www.yelp.com/biz/the-blues-kitchen-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,lwafeCny1UNnn3sz_SnPHg
14,Big Easy,American (Traditional),3.5,££,332-334 Kings Road,51.4852959,-0.1744201,https://www.yelp.com/biz/big-easy-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PA45Xv1AQ1gFwXyqHWG2sQ
15,Bodean's,American (Traditional),3.5,££,16 Byward Street,51.509802,-0.078943,https://www.yelp.com/biz/bodeans-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FNVZnS3vKsuQ_MdI6NGIiw
16,Meat & Shake,American (Traditional),4.5,££,47 Upper Tooting Road,51.4345702,-0.1615662,https://www.yelp.com/biz/meat-and-shake-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wh_umC83isqlbpESSneeGA
17,Byron,American (Traditional),4.0,££,11 Haymarket,51.5087280273438,-0.13154399394989,https://www.yelp.com/biz/byron-london-9?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2rY1we_f2tRRZ3HaW5NQWg
18,Sticky Fingers,American (Traditional),3.5,££,1a Phillimore Gardens,51.49988,-0.198297,https://www.yelp.com/biz/sticky-fingers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YuQUXWOJROqOSeo0a19M5w
19,The Fat Bear,American (Traditional),4.5,££,61 Carter Lane,51.5131833881734,-0.10138103121642,https://www.yelp.com/biz/the-fat-bear-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z0r83lDOA1mI8RpNccXtHw
20,Bodean's,American (Traditional),4.0,££,169 Clapham High Street,51.462083824343,-0.13711100353483,https://www.yelp.com/biz/bodeans-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-4QBfRAAWp1_hMQ3K1h8Mg
21,temper City,Barbeque,,,2 Angel Ct,51.5150413513184,-0.0874139964580536,,
22,Muyang Hot Pot & BBQ,Barbeque,,,Goldhawk Rd,51.5027236938477,-0.224465996026993,,
