,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,No. 1 Lounge,Airport Lounges,3.5,££,Terminal 3,51.4695566815722,-0.460089228201483,https://www.yelp.com/biz/no-1-lounge-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jQQXkQQLs-CYNd0iQoS8ig
1,The Dragon Bar,Bars,4.0,££,138-139 Shoreditch High Street,51.52627,-0.0781649,https://www.yelp.com/biz/the-dragon-bar-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GwUpy8KMGxBNoQKlqnLJ3A
2,Brewhouse and Kitchen Highbury,Bars,3.5,££,2A Corsica Street,51.5462328268967,-0.102008670639066,https://www.yelp.com/biz/brewhouse-and-kitchen-highbury-highbury-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,QyFqPntBn1uVmSpol90Ivw
3,Nordic Bar,Bars,3.5,££,25 Newman Street,51.5177922,-0.1355611,https://www.yelp.com/biz/nordic-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LxdsbRT_WVYxQWhF3qTODg
4,VQ Aldgate,Bars,,,9-13 Aldgate High street,51.51411,-0.07564,,
5,Hoxton Grill,Bars,3.5,££,81 Great Eastern st,51.5255749,-0.0829058,https://www.yelp.com/biz/hoxton-grill-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8lujkUuFoDddoo2wPFvvyw
6,Strongroom Bar & Kitchen,Bars,3.5,££,120-124 Curtain Road,51.5260076,-0.0801375,https://www.yelp.com/biz/strongroom-bar-and-kitchen-shoreditch?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_C8dCtXxwYvTe_1wJ--Pfg
7,All Bar One,Bars,3.0,££,18-20 Appold Street,51.5200263,-0.0832313,https://www.yelp.com/biz/all-bar-one-london-38?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Wr-LNelnvtlDbHw8K1RJJQ
8,St Christophers Inn,Bars,3.5,££,121 Borough High Street,51.5036626,-0.0911184,https://www.yelp.com/biz/st-christophers-inn-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZmWN6UMiU564mGw4_2p0fA
9,Belgo Holborn,Bars,3.5,££,67 Kingsway,51.5156121,-0.1192989,https://www.yelp.com/biz/belgo-holborn-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vocD6ZhFuweQ9rwQ1R5Tog
10,Ochre,Bars,4.0,££,2-3 Creed Lane,51.5131714,-0.1012047,https://www.yelp.com/biz/ochre-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VIWx-eyp8A-yti4I_5Mpng
11,Belgian Beers Shop,"Beer, Wine & Spirits",4.0,££,29 Cambridge Park,51.5749633441687,0.0259375667053519,https://www.yelp.com/biz/belgian-beers-shop-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CMmZgF5amR72ibGgpPqVZQ
12,Belgo,Belgian,,,242 The Glades Shopping Ctr,51.4058452408071,0.0161361694335938,,
13,Belgo King's Cross,Belgian,,,King's Cross,51.5264788,-0.1136597,,
14,Belgo Centraal,Belgian,4.0,££,50 Earlham Street,51.5137833644188,-0.125649969207333,https://www.yelp.com/biz/belgo-centraal-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,H-l4CDhIZ0uTfyv_lR1p7Q
15,Brouge Gastropub,Belgian,4.0,££,241 Hampton Road,51.4361545,-0.35033,https://www.yelp.com/biz/brouge-gastropub-twickenham?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,63W4UtH3nlHM5E8YaWvFUA
16,Wafflemeister,Belgian,4.0,£,369 Oxford Street,51.5144262,-0.1487016,https://www.yelp.com/biz/wafflemeister-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7uY61Pir04yLNL2nHFr8iQ
17,Belgian Brasserie,Belgian,4.0,£,Riverside,51.413264,-0.183182,https://www.yelp.com/biz/belgian-brasserie-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_k6OHeqxlBpi_hK016aJgw
18,Belgo Soho,Belgian,3.0,££,29-31 Old Compton Street,51.512989,-0.13147,https://www.yelp.com/biz/belgo-soho-soho?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,v5b-PxwnEDUVhDiGk50srg
