,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Portobello House,American (Traditional),3.0,££,225 Ladbroke Grove,51.519389,-0.21148,https://www.yelp.com/biz/portobello-house-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XkUO7tQD-tfXoTzuHMbnMg
1,Dominique Ansel Treehouse,Bakeries,,,24 Floral Street,51.5119045680643,-0.12540479881136,,
2,Hugo's,Bars,4.0,££,21-25 Lonsdale Road,51.53713,-0.203419,https://www.yelp.com/biz/hugos-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ab5UXMk4YZVKROpyjXHmQg
3,Plateau Restaurant,Bars,4.5,£££,Canada Place,51.5044556493532,-0.0166596716095782,https://www.yelp.com/biz/plateau-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YjM4oKNwo8MuzHkAdmwiaA
4,Bibendum,Bars,4.0,£££,MIchelin House,51.49331458816,-0.16883345515649,https://www.yelp.com/biz/bibendum-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eKV3GGH9gU5h028CU839kQ
5,The Waterway,Bars,3.5,£££,54 Formosa Street,51.522673179187,-0.18780904971049,https://www.yelp.com/biz/the-waterway-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DkKOKkZ0l1qm07cAG_CKgg
6,86 Bistro Bar,Bars,,,86 Brent Street,51.585114,-0.219755,,
7,York & Albany,Bars,4.0,£££,127-129 Parkway,51.5359792,-0.1466359,https://www.yelp.com/biz/york-and-albany-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,g79KR-kAcJS9OH_f-ZrG0g
8,Made In Camden,Bars,3.5,££,The Roundhouse,51.5434890275839,-0.152038804296912,https://www.yelp.com/biz/made-in-camden-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,csVPVnXRUxb9pmCqe-kFJQ
9,Baltic Bar and Restaurant,Bars,4.0,£££,74 Blackfriars Road,51.503466,-0.104866,https://www.yelp.com/biz/baltic-bar-and-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fdwAAs9cm_uLkgxXedYh3w
10,Petit Bistro,Bistros,,,14 Leicester Place,51.511125,-0.129728,,
11,Troy Cafe Bistro,Bistros,4.0,£££,124 Kingsland Road,51.5304613,-0.0770172,https://www.yelp.com/biz/troy-cafe-bistro-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wP8WFnsso_3SSHzrtYzVeQ
12,Patron Cave à Manger,Bistros,3.5,££,26 Fortess Road,51.5526877,-0.1407776,https://www.yelp.com/biz/patron-cave-%C3%A0-manger-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,N05ni488O0XQg3jBC_I70Q
13,Bank Restaurants,Bistros,3.5,£££,45 Buckingham Gate,51.4986583,-0.1373148,https://www.yelp.com/biz/bank-restaurants-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,m3A_7od2v91zWbXbllasHA
14,Bistro 190,Bistros,3.5,££,The Gore,51.500257,-0.179609,https://www.yelp.com/biz/bistro-190-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-OTXUjtJ0_Mer7PnBir18Q
15,Bistro Fifteen,Bistros,,,15 Cromwell Place,51.4945147,-0.1748967,,
16,Bite Bistro,Bistros,,,127 Clapham High Street,51.463607,-0.133678,,
17,Blanchette,Bistros,4.0,£££,9 D'Arblay Street,51.5146869918666,-0.136290080845356,https://www.yelp.com/biz/blanchette-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MSqfyXS2fdm6H-ywHAV75w
18,South Place Grill,Bistros,,,3 S Place,51.519045,-0.086526,,
19,The Frenchie Bistro,Bistros,,,Unit 8 The Artworks Elephant,51.4933788421539,-0.0979965087707342,,
20,On the Hoof Bistro,Bistros,,,23 Sydenham Road,51.4271367682652,-0.0543293632657697,,
21,Côte Brasserie,Brasseries,4.0,££,17-21 Tavistock Street,51.5123642,-0.1202975,https://www.yelp.com/biz/c%C3%B4te-brasserie-london-22?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TtkhkYxbzkL_F6ZajO3veQ
22,Côte,Brasseries,4.0,££,323 Muswell Hill Broadway,51.5921065006675,-0.143202818598953,https://www.yelp.com/biz/c%C3%B4te-london-41?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3_8E7PvPHo1BJ7VwWzTUsA
23,Brasserie Zédel,Brasseries,4.0,££,20 Sherwood Street,51.5106025898049,-0.135575861793962,https://www.yelp.com/biz/brasserie-z%C3%A9del-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,E43MdoA7zkZ6SnPjAJaTvA
24,Côte,Breakfast & Brunch,3.5,££,47 Kensington Court,51.5019768764095,-0.188927866187417,https://www.yelp.com/biz/c%C3%B4te-london-20?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8pafyRKpDRt0pd5KXh-Hzg
25,Côte,Breakfast & Brunch,4.0,£££,26 Ludgate Hill,51.513879857643,-0.101035305766373,https://www.yelp.com/biz/c%C3%B4te-london-26?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jhXl6t-narNJ36B4SYKU4w
26,Percy & Founders,Breakfast & Brunch,4.0,£££,1 Pearson Square,51.5187944346049,-0.137987967211919,https://www.yelp.com/biz/percy-and-founders-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,35B3UJMEaI1sQj4vaKK0RQ
27,Bistrò by Shot,Breakfast & Brunch,5.0,££,28 Parsons Green Lane,51.4761126249543,-0.201063260185887,https://www.yelp.com/biz/bistr%C3%B2-by-shot-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SsA4xyF60DUXdOaCspIe1w
28,The Premises Cafe,Breakfast & Brunch,4.0,££,209 Hackney Road,51.5310580220194,-0.0715311831245662,https://www.yelp.com/biz/the-premises-cafe-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bUSpzLnvC70PBrnjlUJ-UA
29,The Modern Pantry,Breakfast & Brunch,4.0,££,47-48 St John's Square,51.5230301121618,-0.103575187145258,https://www.yelp.com/biz/the-modern-pantry-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zOLPCLptUE2UKRXYWCEHvg
30,Le Pain Quotidien,Breakfast & Brunch,4.0,££,128 Wilton Road,51.4941248,-0.1423182,https://www.yelp.com/biz/le-pain-quotidien-london-18?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mQ9xQov8ZSfXfmkSRd95Vg
31,Balans Soho Society,Breakfast & Brunch,3.5,££,60 - 62 Old Compton Street,51.5127825041885,-0.132572578634624,https://www.yelp.com/biz/balans-soho-society-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,p4RDP4LpUQ2s2FiVs4mGhQ
32,Bob's Cafe Mill Hill,Breakfast & Brunch,,,88 The Broadway,51.6156484,-0.2445645,,
33,Côte,Breakfast & Brunch,4.0,££,124-126 Wardour Street,51.514231,-0.134374,https://www.yelp.com/biz/c%C3%B4te-london-18?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jRvh4MyRkjlIl2Llnwzd9Q
34,Côte,Breakfast & Brunch,,,45-47 Parsons Green Lane,51.475345,-0.2005651,,
