,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Lagos Island,African,,,417 Lea Bridge Road,51.571678,-0.022005,,
1,Lekki Restaurant and Bar,African,,,323 Kingsland Road,51.5386490144945,-0.0768696981475614,,
2,Baba Foundation,African,5.0,£,1332 London Road,51.4080551,-0.1215169,https://www.yelp.com/biz/baba-foundation-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,O_oGelZj2mpvV09P5kwvjw
3,Tony's Restaurant and Bar,American (Traditional),3.0,£££,28 Brixton Water Lane,51.4551766,-0.1131342,https://www.yelp.com/biz/tonys-restaurant-and-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1HcfWDI8rA9BbMC0bb4rFg
4,Three Little Birds,Bars,4.0,££,412 Coldharbour Lane,51.46169,-0.11325,https://www.yelp.com/biz/three-little-birds-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-HOjNYqs6a3MKKYkvDf5Pg
5,Camino,Bars,3.5,££,3 Varnishers Yard,51.5312937277784,-0.121793746948242,https://www.yelp.com/biz/camino-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OyLrjCVSSp5UUAYe9Vm0Hg
6,Banner's Restaurant,Breakfast & Brunch,4.0,££,21 Park Road,51.5805632029117,-0.124239921569824,https://www.yelp.com/biz/banners-restaurant-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,20wbHVznGl8DZorCyjzvXA
7,Rhythm Kitchen,Caribbean,3.0,££,Montfichet Road,51.5428940087622,-0.00655096024274826,https://www.yelp.com/biz/rhythm-kitchen-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,iUPTuzv5oISbGBJZH6pu3w
8,Turtle Bay,Caribbean,3.5,££,382-384 Brixton Road,51.4660261223168,-0.113898024601562,https://www.yelp.com/biz/turtle-bay-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TRead8vIYyKXr3FxyYWFyA
9,Mahoe,Caribbean,3.5,££,74-82 Queen Victoria Street,51.5125961303711,-0.0936269983649254,https://www.yelp.com/biz/mahoe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,61vNq2UPPI8d0JnnO5X2Qg
10,Tasty Jerk,Caribbean,,,Artworks Unit 15,51.493198411546,-0.0983991406143332,,
11,Eaton's Jerk Corner,Caribbean,,,1-1a Downs Court Parade,51.54973,-0.060401,,
12,Yum Yum Caribbean Cuisine,Caribbean,3.0,£,30-32 Lymington Avenue,51.6605338,-0.0579312,https://www.yelp.com/biz/yum-yum-caribbean-cuisine-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Gi9IXZnoY1ngg_u84TcSRg
13,Turtle Bay,Caribbean,4.0,££,15 High Street,51.5117086668072,-0.304681174457073,https://www.yelp.com/biz/turtle-bay-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U9ozt7-1P_NWoD63rxqvJA
14,Umana Yana,Caribbean,5.0,£,294 Croxted Road,51.4504519318343,-0.100384671736843,https://www.yelp.com/biz/umana-yana-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UU69_4fwSux7JJf83nLTbQ
15,Treats & Ting,Caribbean,5.0,£,25 Tulse Hill,51.4545419634841,-0.113166086375713,https://www.yelp.com/biz/treats-and-ting-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4R2Co_GWlRI712P9P0FP8Q
16,Love Gift Vegan,Caribbean,,,386 Lee High Rd,51.4569312,0.0090325,,
17,Finger Licking Carribean Takeaway,Caribbean,,,40 Clarence Road,51.5507621765137,-0.0552799999713898,,
18,Jerk Chicken,Caribbean,,,209 Walworth Road,51.489102,-0.096016,,
19,Jerk Hut,Caribbean,3.5,££,257 Hoe St,51.581093,-0.018233,https://www.yelp.com/biz/jerk-hut-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,9beJoW9vZ5m82dYquJam2Q
20,Caribbean HQ,Caribbean,,,3 Penton Street Islington,51.531967,-0.111518,,
21,Rock Steady Rum Lounge,Caribbean,4.5,££,128 Gipsy Hill,51.4246461122253,-0.0835256720280645,https://www.yelp.com/biz/rock-steady-rum-lounge-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,KPZPK_J-4iV1wkEmPjnQVg
22,Casablanca,Caribbean,,,170 Sandringham Road,51.550272,-0.064373,,
23,Intimate Island Inn,Caribbean,,,85 Ballards Lane,51.6035198771846,-0.189062124533264,,
24,Turtle Bay,Caribbean,4.0,££,Unit 7,51.3724581895417,-0.100943480560116,https://www.yelp.com/biz/turtle-bay-croydon?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gkjFTbIAU0SkTmKrc0GjcQ
25,Pumpkin Rice,Caribbean,4.5,£,1 Greenhill Parade,51.6468611301172,-0.186419173039058,https://www.yelp.com/biz/pumpkin-rice-new-barnet?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ac3Ye78smtksouvHUxSnHA
26,The Big Taste,Caribbean,,,54 Brixton Road,51.47913,-0.11206,,
27,Flex Rite Food & Sea Bar,Caribbean,,,242 Dalston Ln,51.5493785,-0.0596595,,
28,Refill Foods,Caribbean,4.0,£,500A Brixton Road,51.462,-0.11566,https://www.yelp.com/biz/refill-foods-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kX3HvYkMvpSFjKs9X2YN2w
29,Ochi Cuisine,Caribbean,2.0,££,648 High Rd Leyton,51.5694872,-0.008145,https://www.yelp.com/biz/ochi-cuisine-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ESIk_2s0KuWpFVrJj3Gnxg
