,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Dutch Bike Hire,Active Life,,,Queensway,51.512001,-0.18747,,
1,Vegas Gallery,Art Galleries,,,274 Poyser St Railway Arches,51.529886,-0.056789,,
2,National Portrait Gallery,Art Galleries,4.5,£,St Martin's Place,51.509425,-0.128123,https://www.yelp.com/biz/national-portrait-gallery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uNBw-V4ZYn-cXt4fc9Jw9Q
3,South London Gallery,Art Galleries,4.5,££,65 Peckham Road,51.474248,-0.079688,https://www.yelp.com/biz/south-london-gallery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SR8YJe1KLU24LOwCcVlo9w
4,The Queen's Gallery,Art Galleries,3.5,££,Buckingham Palace,51.499837,-0.14234,https://www.yelp.com/biz/the-queens-gallery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XSjMfPAc1EYi6NOLwJCzIA
5,The National Gallery,Art Museums,,,Trafalgar Square,51.508929,-0.128302,,
6,Victoria and Albert Museum,Art Museums,,,Cromwell Road,51.4963940559606,-0.171935630295101,,
7,Coin Street Festival,Arts & Entertainment,,,,51.492195,-0.125095,,
8,Camino,Bars,3.5,££,3 Varnishers Yard,51.5312937277784,-0.121793746948242,https://www.yelp.com/biz/camino-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OyLrjCVSSp5UUAYe9Vm0Hg
9,Project Orange,Bars,4.5,££,43 St John's Hill,51.462851913426,-0.17040910213262,https://www.yelp.com/biz/project-orange-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZsvAq-7mwVE4VBB4Q82jaQ
