,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Tinseltown,American (Traditional),3.0,££,44-46 St John Street,51.5213012631375,-0.101313133681606,https://www.yelp.com/biz/tinseltown-london-10?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,E_2AMpY_lSXcgRQTcTPj0Q
1,Timmy Green,Australian,,,Sir Simon Milton Square,51.4980343768138,-0.143855731693976,,
2,Boys'N'Berry,Breakfast & Brunch,,,839 Fulham Road,51.4748900209557,-0.206247456371784,,
3,Caravan,Breakfast & Brunch,4.0,££,11-13 Exmouth Market,51.5254718215956,-0.110122750616417,https://www.yelp.com/biz/caravan-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Bc4GZfIUJu9363QQVACZVA
4,"Megan's Kings Road Restaurant, Chelsea",Breakfast & Brunch,4.0,££,571 Kings Road,51.47881,-0.18801,https://www.yelp.com/biz/megans-kings-road-restaurant-chelsea-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,x7Z52Z5asB91V2l2sBLWWg
5,The Blue Legume,Breakfast & Brunch,3.5,££,130 Crouch Hill,51.5775696012625,-0.123145580291748,https://www.yelp.com/biz/the-blue-legume-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Zu95anP0mIezAc6fvYTzmg
6,Andina,Breakfast & Brunch,4.0,££,1 Redchurch Street,51.5243208695971,-0.077134990126122,https://www.yelp.com/biz/andina-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vCF8ut7OZcfA4hEmhngfSQ
7,DDK Cafe,British,4.5,£,39 Warcick Way,51.4922261,-0.1403977,https://www.yelp.com/biz/ddk-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FzMLjXcYXBs_msvKdREYRw
8,Muriel's Kitchen,British,4.0,££,Unit 1,51.494117,-0.174468,https://www.yelp.com/biz/muriels-kitchen-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wm6Hwzan5qYhTzCDmO3oDQ
9,Daylesford Organic,British,3.5,££,44b Pimlico Road,51.490645,-0.1533991,https://www.yelp.com/biz/daylesford-organic-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4TU99yHlV6jNjZNwsiz1rA
10,Granger & Co,British,4.0,££,175 Westbourne Grove,51.514646148453,-0.19779915622354,https://www.yelp.com/biz/granger-and-co-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0r2-fwgLvuOLef0epiFkFQ
11,Daylesford Organic,British,4.0,££,208-212 Westbourne Grove,51.5145345,-0.2004594,https://www.yelp.com/biz/daylesford-organic-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,b4H15rt8Y6tzHoSY7etpng
12,Bubbleology,Bubble Tea,2.5,£,64 Upper Street,51.5359244,-0.1039501,https://www.yelp.com/biz/bubbleology-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SiYcTcmjZkogL6hhm4NY1g
13,Bubbleology,Bubble Tea,3.5,£,23 Cromwell Place,51.494573,-0.17439,https://www.yelp.com/biz/bubbleology-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nOYtSW76HBkmqmI_mbfCVg
14,Giraffe Juice Bar,Cafes,,,T5,51.481459,-0.44486,,
15,Blanche Eatery,Cafes,4.0,££,32B Kensington Church Street,51.5040545,-0.191941,https://www.yelp.com/biz/blanche-eatery-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Zkuxlo1mzDp3MrkZTBiEJg
16,Fressh Juice Bar,Cafes,,,The Broadway,51.5133776,-0.3038972,,
17,CycleLab & JuiceBar,Cafes,5.0,£,16B-18A Pitfield Street,51.527144,-0.083562,https://www.yelp.com/biz/cyclelab-and-juicebar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6G6lvHO8c12MGFcdDbRhkA
18,Hawraman Cafe Bar,Cafes,,,38 Chalk Farm Road,51.542848,-0.1483066,,
19,Blue Mountain,Cafes,4.0,££,18 North Cross Road,51.45759277398,-0.072380143086589,https://www.yelp.com/biz/blue-mountain-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xsZqlueXWeDZYkjIbM8Nkw
20,Crussh Juice Bars,Caterers,4.0,££,Brunswick Centre,51.52416,-0.123186,https://www.yelp.com/biz/crussh-juice-bars-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PC5MyWEwUApF1sP-Uy76kQ
21,The Alchemist,Cocktail Bars,4.0,££,6 Bevis Marks,51.5150476,-0.0793474,https://www.yelp.com/biz/the-alchemist-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LpIY4AvlAQZqJEZgcFoFPA
