,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,The Fat Bear,American (Traditional),4.5,££,61 Carter Lane,51.5131833881734,-0.10138103121642,https://www.yelp.com/biz/the-fat-bear-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z0r83lDOA1mI8RpNccXtHw
1,Bodean's,American (Traditional),4.0,££,D'Arblay House,51.514481362499,-0.13676105637839,https://www.yelp.com/biz/bodeans-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Fa9718rkbQuMh3DYgvsSYw
2,Connaught Bar,Bars,4.5,££££,The Connaught,51.5101556,-0.1496314,https://www.yelp.com/biz/connaught-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hXWtuKNmbVzAYtoZhNLLPw
3,BrewDog Camden,Bars,4.0,££,113 Bayham Street,51.538411115006,-0.14083902579638,https://www.yelp.com/biz/brewdog-camden-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Snps6MdfS78ye8fiSDyphQ
4,The Social,Bars,4.0,££,5 Little Portland Street,51.5174,-0.140846,https://www.yelp.com/biz/the-social-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_KHr_QRAn5-czkDkonAdhA
5,The Dragon Bar,Bars,4.0,££,138-139 Shoreditch High Street,51.52627,-0.0781649,https://www.yelp.com/biz/the-dragon-bar-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GwUpy8KMGxBNoQKlqnLJ3A
6,Simpsons Tavern,Bars,4.0,££,Ballcourt 38 1/2 Cornhill,51.5131443111499,-0.0860142708131661,https://www.yelp.com/biz/simpsons-tavern-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Knha-8wa2_RPavK_o9qfQQ
7,The Kings Head,Bars,,,13 Westmoreland Street,51.5196816,-0.1501257,,
8,Crocker's Folly,Bars,4.5,£££,24 Aberdeen Place,51.525735598316,-0.174713730812073,https://www.yelp.com/biz/crockers-folly-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6zdVc_noXqjJLIohpSyIbw
9,Cahoots Bar,Bars,4.5,££,13 Kingly Court,51.512542,-0.1391,https://www.yelp.com/biz/cahoots-bar-soho?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Gyus9t3spoc1Ymc-BChRFw
10,BrewDog,Bars,4.5,££,21 Poland Street,51.5150421077263,-0.137205049395561,https://www.yelp.com/biz/brewdog-soho?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pQSVwo98sKLUgE8tV4hcLw
11,Heist Bank,Bars,,,5 North Wharf Road,51.5187950094017,-0.176081,,
12,Crocker's Folly,Bars,4.5,£££,24 Aberdeen Place,51.525735598316,-0.174713730812073,https://www.yelp.com/biz/crockers-folly-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6zdVc_noXqjJLIohpSyIbw
13,The Lyric,Bars,4.5,££,37 Great Windmill Street,51.511283,-0.134466,https://www.yelp.com/biz/the-lyric-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3yvDAVKLDtsXZEHrskuobA
