,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,St. John Bread & Wine,Bakeries,4.5,££,94-96 Commercial Street,51.5196695,-0.074299,https://www.yelp.com/biz/st-john-bread-and-wine-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,m3vdBGC0X94sG_5pglDcjQ
1,Le Pain Quotidien,Bakeries,3.5,££,18 Great Marlborough Street,51.5144366,-0.13916,https://www.yelp.com/biz/le-pain-quotidien-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,g8-HDSVwGUe0QUxwV4pAjQ
2,GAIL's Bakery Chiswick,Bakeries,4.0,£,282 Chiswick High Road,51.492659,-0.260265,https://www.yelp.com/biz/gails-bakery-chiswick-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZPRqFr0P7Ce9NktBb8dy6w
3,Redemption,Bars,,,6 Chepstow Road,51.5155772,-0.195027,,
4,Look Mum No Hands!,Bikes,4.0,£,49 Old Street,51.524013227609,-0.096938452042226,https://www.yelp.com/biz/look-mum-no-hands-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nwZeSFKD0dRqDM1H4pDy3w
5,Côte Brasserie,Brasseries,4.0,££,17-21 Tavistock Street,51.5123642,-0.1202975,https://www.yelp.com/biz/c%C3%B4te-brasserie-london-22?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TtkhkYxbzkL_F6ZajO3veQ
6,Brasserie Zédel,Brasseries,4.0,££,20 Sherwood Street,51.5106025898049,-0.135575861793962,https://www.yelp.com/biz/brasserie-z%C3%A9del-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,E43MdoA7zkZ6SnPjAJaTvA
7,Le Pain Quotidien,Breakfast & Brunch,4.0,££,128 Wilton Road,51.4941248,-0.1423182,https://www.yelp.com/biz/le-pain-quotidien-london-18?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mQ9xQov8ZSfXfmkSRd95Vg
8,EAT.,Breakfast & Brunch,4.0,£,36-38 Piccadilly,51.509172,-0.1374798,https://www.yelp.com/biz/eat-london-30?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Tk83SHGjBMQ6ntQqTC2Hpw
9,EAT.,Breakfast & Brunch,3.5,£,Royal Festival Hall,51.506241,-0.117268,https://www.yelp.com/biz/eat-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8Iuw3gfSmZLd-iPVDca5nA
10,EAT.,Breakfast & Brunch,,,95 Fetter Lane,51.51669,-0.109339,,
11,EAT.,Breakfast & Brunch,4.0,£,The Food Hall Selfridges,51.5145950317383,-0.1528510004282,https://www.yelp.com/biz/eat-london-38?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,9MXsC1ueL4HZ0jYGNJX0uQ
12,Lantana Cafe,Breakfast & Brunch,4.0,££,13 Charlotte Place,51.5189676,-0.1359559,https://www.yelp.com/biz/lantana-cafe-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xl05GXufB5wPlGQL75wiJA
13,Berners Tavern,British,4.5,£££,10 Berners Street,51.5167515074354,-0.135977268218994,https://www.yelp.com/biz/berners-tavern-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZKfiQaOMDu7rfVhmMmQ0bQ
