,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Momowich,Asian Fusion,4.5,£,9 Carthusian Street,51.5205756735942,-0.0980528444051743,https://www.yelp.com/biz/momowich-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MXS9sVOtxhIK_bOc6E6zqQ
1,Bintang Restaurant,Asian Fusion,4.0,££,93 Kentish Town Road,51.5435936,-0.1419243,https://www.yelp.com/biz/bintang-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U7r1uvzMlxrykH15ebt7lQ
2,Yum Sa,Asian Fusion,,,Unit 1 3 Plaza Gardens,51.4592834202089,-0.210306979715824,,
3,Street Hawker Restaurant,Asian Fusion,4.5,££,166 Randolph Avenue,51.5301528,-0.1863199,https://www.yelp.com/biz/street-hawker-restaurant-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1vk1jic2_jaciKPSG6Hy4w
4,Banana Tree,Asian Fusion,4.0,££,75-79 Battersea Rise,51.460635,-0.166301,https://www.yelp.com/biz/banana-tree-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RaIZ-cnvuSM3wLDuQkl-aw
5,Wok to Walk - Cranbourn St,Asian Fusion,4.5,£,21-22 Cranbourn Street,51.5116604,-0.1279191,https://www.yelp.com/biz/wok-to-walk-cranbourn-st-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GtkU-5oLpWL96c3pC1fyIw
6,E&O,Asian Fusion,4.0,£££,14 Blenheim Crescent,51.5158364710502,-0.205848282245171,https://www.yelp.com/biz/e-and-o-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qsQAO0i1z8qlQMECyDyitQ
7,Sticky Mango,Asian Fusion,,,33 Coin Street,51.5060829,-0.1098249,,
8,Firecracker,Asian Fusion,4.0,££,44 Horseferry Road,51.4949849,-0.1271241,https://www.yelp.com/biz/firecracker-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,y9MWERu8ULGHhMKaDn8F2Q
9,KIN,Asian Fusion,4.0,££,88 Leather Lane,51.521448855755,-0.10987964543908,https://www.yelp.com/biz/kin-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uSmXcq26qSXpsoLyog_nlA
10,Eight Over Eight,Asian Fusion,4.0,£££,392 Kings Road,51.484206,-0.176734,https://www.yelp.com/biz/eight-over-eight-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-N4164ebiYY4eD1pXedhnA
11,ULI,Asian Fusion,4.0,££,5 Ladbroke Road,51.5096119,-0.1979603,https://www.yelp.com/biz/uli-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LFohlIcFGZRg1H_DhOwy9w
12,Firefly Bar & Thai kitchen,Bars,4.0,££,3 Station Parade,51.442691283449,-0.153311463075813,https://www.yelp.com/biz/firefly-bar-and-thai-kitchen-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,9XG_Tyf_8kfSrjN8aCfEBg
13,Oaka At The Mansion House,Bars,4.5,££,48 Kennington Park Road,51.489283,-0.105205,https://www.yelp.com/biz/oaka-at-the-mansion-house-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,A4XN6FM_ankGP7kYvwjjIw
14,Hakkasan Mayfair,Chinese,4.0,££££,17 Bruton Street,51.5103202323384,-0.144935268434918,https://www.yelp.com/biz/hakkasan-mayfair-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,chEEcQbc8PbidTeXK34H9g
15,Dong Phuong,Chinese,5.0,££,32 Roehampton High Street,51.453886,-0.245483,https://www.yelp.com/biz/dong-phuong-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GkX3yV3ggecmmemw7MhS9Q
16,Singapore Garden,Chinese,3.5,£££,83 Fairfax Road,51.5423289,-0.1797382,https://www.yelp.com/biz/singapore-garden-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,V09kvXn3NDACmCQF1lYrCQ
17,Marie's Cafe,Coffee & Tea,4.0,£,90 Lower Marsh,51.501533914011,-0.11130307161269,https://www.yelp.com/biz/maries-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,puXO6DCuNOyopFw6Ykgtzw
18,Paolina's Thai Cafe,Coffee & Tea,4.5,£,181 King's Cross Road,51.530469,-0.118457,https://www.yelp.com/biz/paolinas-thai-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hWJYKoBLzeQ6STpTp6FoYw
19,Harar Restaurant,Ethiopian,4.5,££,49 S Lambeth Road,51.482313,-0.124012,https://www.yelp.com/biz/harar-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hDNT98y1tlFVcKKiwEv7tw
20,Thai Crystal,Fast Food,4.5,££,7 Westow Hill,51.419812,-0.0822806,https://www.yelp.com/biz/thai-crystal-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kAvQbL52fbMOxcm-bJoYGw
21,Newdlez Pad Thai,Food Stands,5.0,£,Sunday UpMarket,51.5203908957086,-0.0724449094546498,https://www.yelp.com/biz/newdlez-pad-thai-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3n3AizXFUaqJmk5c_zzIqw
22,Banana Tree,Halal,4.0,££,237-239 W End Lane,51.5495692800869,-0.191661783719218,https://www.yelp.com/biz/banana-tree-london-8?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VvvfpAZpjEIYV24zcQvjdg
23,Satay Cocktail Bar & Restaurant,Indonesian,3.5,££,447 Coldharbour Lane,51.4614207479944,-0.114383321037687,https://www.yelp.com/biz/satay-cocktail-bar-and-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,WAaamCBn-6SmGQ5dYPYwFQ
24,Chozen Noodle,Japanese,3.5,££,141 Praed Street,51.516426,-0.173877,https://www.yelp.com/biz/chozen-noodle-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ui8Y5D1HwIAVjwNRmXHyiw
25,Home,Laotian,5.0,£,2 Bethnal Green Road,51.5235110717839,-0.0763940066099167,https://www.yelp.com/biz/home-london-10?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,EBJG1t9MGidxH8bp5Hpm8Q
26,Lao Cafe,Laotian,4.0,££,60 Chandos Place,51.510153354616,-0.125136251632811,https://www.yelp.com/biz/lao-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zr2aKieJp8S5by5VPceKUQ
27,Mamak Don,Malaysian,,,9 Parkway,51.5386656968639,-0.143215209245682,,
28,Melur,Malaysian,4.0,££,175 Edgeware Road,51.5182309191524,-0.167822487218507,https://www.yelp.com/biz/melur-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,y1VteCQTZojJ-H3tc5Q-dQ
29,Champor-Champor,Malaysian,4.0,£££,62-64 Weston Street,51.5024226,-0.0854034,https://www.yelp.com/biz/champor-champor-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,40fsbtEuQCAtwcqlnUWEvQ
30,Makan Café,Malaysian,4.5,£,270 Portobello Road,51.519035,-0.207198,https://www.yelp.com/biz/makan-caf%C3%A9-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kFuNTfCd50hHjw3xxnCQ1w
31,Tukdin,Malaysian,4.0,££,41 Craven Road,51.5133999,-0.1792873,https://www.yelp.com/biz/tukdin-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VRGItrDyJTZKNBN4HeK1AQ
32,Satay House,Malaysian,4.0,££,13 Sale Place,51.517626,-0.169519,https://www.yelp.com/biz/satay-house-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,08OnUftxGa4co_Mc_gbsew
33,Kiln,Noodles,4.5,££,58 Brewer Street,51.5114108,-0.1360504,https://www.yelp.com/biz/kiln-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VTOd4cweIR_5uMHh0KLeBg
34,The Heron,Pubs,4.0,££,Norfolk Crescent,51.5166613759148,-0.1672946,https://www.yelp.com/biz/the-heron-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Hk22zJgvR8NKYimQlR2IMA
35,Latymers,Pubs,4.0,£,157 Hammersmith Road,51.4929351140286,-0.217810317873955,https://www.yelp.com/biz/latymers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8pO5Gqrd6v_z4kdSY2aBpQ
