,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,The Bike Shed,Accessories,4.5,££,384 Old Street,51.5270903,-0.0782151,https://www.yelp.com/biz/the-bike-shed-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BNdzjiLoibX1uSH4kAQy5w
1,Afghan Kitchen,Afghan,4.0,££,35 Islington Green,51.5357864609294,-0.103037509845308,https://www.yelp.com/biz/afghan-kitchen-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nsiUDhW2nBLaW_JCM4gmxg
2,Maloko,African,,,60 Camberwell Church Street,51.4736925,-0.0886691,,
3,Firecracker,Asian Fusion,4.0,££,44 Horseferry Road,51.4949849,-0.1271241,https://www.yelp.com/biz/firecracker-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,y9MWERu8ULGHhMKaDn8F2Q
4,Chai Ki,Asian Fusion,4.0,££,Crossrail Place,51.506224381971,-0.0180665979703719,https://www.yelp.com/biz/chai-ki-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,cLyL7ABwhjdkQcREkeOCEw
5,Banana Tree,Asian Fusion,4.0,££,75-79 Battersea Rise,51.460635,-0.166301,https://www.yelp.com/biz/banana-tree-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RaIZ-cnvuSM3wLDuQkl-aw
6,Rapsa,Asian Fusion,4.5,££,100-104 Hoxton Street,51.5310648658011,-0.0800106030410461,https://www.yelp.com/biz/rapsa-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gJAFSUO7U70GQJFo3ynRUw
7,KIN,Asian Fusion,4.0,££,88 Leather Lane,51.521448855755,-0.10987964543908,https://www.yelp.com/biz/kin-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uSmXcq26qSXpsoLyog_nlA
8,Ottolenghi,Bakeries,4.0,££,63 Ledbury Road,51.514890823172,-0.19941762827537,https://www.yelp.com/biz/ottolenghi-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,L-ZNTln24SoU_jYia4M19Q
9,Duck & Waffle Local,Bars,4.5,££,52 Haymarket,51.5094175706263,-0.132749820495633,https://www.yelp.com/biz/duck-and-waffle-local-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,a4FkZ2b7Wn3-AP7q3ptHtQ
