,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,British Airways Galleries Lounge,Airport Lounges,,,Van Wyck & JFK Expy,40.649188,-73.782907,,
1,British Airways Concorde Room,Airport Lounges,,,Van Wyck & JFK Expressway,40.6492645901329,-73.7838849797845,,
2,Berry Park,American (New),3.5,$$,4 Berry St,40.7224719,-73.9552526,https://www.yelp.com/biz/berry-park-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DMOwfdP0Va1QI_KNefD8kg
3,The Spaniard,American (New),4.0,$$,190 W 4th St,40.7327497,-74.0021829,https://www.yelp.com/biz/the-spaniard-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XO3yD87rTPz9o6Dy9qRaJg
4,The East Pole,American (New),3.5,$$$,133 E 65th St,40.7662355,-73.9658007,https://www.yelp.com/biz/the-east-pole-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xcnq-GIw48tMPlUIavpGmA
5,Sunday in Brooklyn,American (New),4.0,$$,348 Wythe Ave,40.714145,-73.965322,https://www.yelp.com/biz/sunday-in-brooklyn-brooklyn-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,9AXTJkwXdWaJaQkCjpj6mA
6,Light Horse Tavern,American (New),3.5,$$,199 Washington St,40.7139744,-74.03812453680533,https://www.yelp.com/biz/light-horse-tavern-jersey-city-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rgAj05ov6HLAECdE39wMVg
7,Playwright Celtic Pub,American (New),3.0,$$,732 8th Ave,40.75933,-73.98793,https://www.yelp.com/biz/playwright-celtic-pub-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,t_IXO90SSJz4pt5GLD2lTA
8,Alfie's,American (New),4.0,$$,800 9th Ave,40.765437,-73.987278,https://www.yelp.com/biz/alfies-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tOn-wEQ06ScrgeU5Ljw7Gw
9,The Smith,American (New),4.0,$$,956 2nd Ave,40.755165,-73.967868,https://www.yelp.com/biz/the-smith-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,C-8mGN7lt5rIraO5n-15ug
10,Estela,American (New),4.0,$$$,47 E Houston St,40.724759,-73.994728,https://www.yelp.com/biz/estela-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GCAQmtRdNhqVit5KGJ46Qg
