,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,High Street On Hudson,American (New),4.0,$$,637 Hudson St,40.73888,-74.00574,https://www.yelp.com/biz/high-street-on-hudson-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Oq1mej1BYfjcdPKkM_5o8g
1,Russ & Daughters,Bagels,4.5,$$,179 E Houston St,40.722589,-73.9882828294139,https://www.yelp.com/biz/russ-and-daughters-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VrCCr45dhN-RRM107iptdg
2,Yaya's Bakery,Bakeries,4.0,$,28-46 31st St,40.76749,-73.92129,https://www.yelp.com/biz/yayas-bakery-astoria?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,luGkJZkiUNVZxbrCt4g3VA
3,Breads Bakery,Bakeries,4.5,$$,18 E 16th St,40.73661,-73.99181,https://www.yelp.com/biz/breads-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mU23NlQfn1R9OhA6WMe_xg
4,Patisserie Claude,Bakeries,4.0,$,187 W 4th St,40.7327402,-74.0018208,https://www.yelp.com/biz/patisserie-claude-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fvDZVAvv_g4L-WWkbDpCXg
5,Santos Bakery,Bakeries,5.0,$,171 Willow St,40.929481,-73.891914,https://www.yelp.com/biz/santos-bakery-yonkers?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MCgYN8r2pPEpAVQKpGd9Kw
6,Mei Lai Wah Bakery,Bakeries,4.0,$,64 Bayard St,40.7155758,-73.9979585,https://www.yelp.com/biz/mei-lai-wah-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MauzeeZM7S-wUk_G98Ybrg
7,Butterfield Market,Bakeries,,,1150 Madison Ave,40.78069,-73.95955,,
8,Ovenly,Bakeries,4.0,$$,210 Flatbush Ave,40.68119,-73.97573,https://www.yelp.com/biz/ovenly-brooklyn-8?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UeSxAEpzdytnCY6E8zvwRA
9,Orwashers,Bakeries,4.0,$$,308 E 78th St,40.772191,-73.95505,https://www.yelp.com/biz/orwashers-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,aSDGr4NIfm1C6IspWSNaQw
10,Butter Lane,Bakeries,4.0,$,123 E 7th St,40.7264944895101,-73.9841490983963,https://www.yelp.com/biz/butter-lane-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qMr-lz0G0vyz2r4mJJQxmA
11,Win Son Bakery,Bakeries,4.0,$$,164 Graham Ave,40.70721,-73.94302,https://www.yelp.com/biz/win-son-bakery-brooklyn-9?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pYjMy5ixIeeG1YLEt4bGDg
12,Big Booty Bread,Bakeries,4.0,$,261 W 23rd St,40.745115,-73.9977148,https://www.yelp.com/biz/big-booty-bread-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gXz2MvC4637r2rg5YVO2tw
13,Old German Bakery,Bakeries,4.0,$$,332 Washington St,40.7411506480459,-74.0299641027722,https://www.yelp.com/biz/old-german-bakery-hoboken?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6xaL2MvIgzkC67h8yu1-rw
