,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,The Bronx Beer Hall,American (New),3.5,$$,2344 Arthur Ave,40.854118,-73.888175,https://www.yelp.com/biz/the-bronx-beer-hall-bronx?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zEHzdRjEa23tcH585_SqHw
1,The OX Tavern,American (New),4.0,$$,1301 Newkirk Ave,40.63489,-73.96497,https://www.yelp.com/biz/the-ox-tavern-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,I8U2B8O3uXhhXYhRrOH_Xg
2,Berry Park,American (New),3.5,$$,4 Berry St,40.7224719,-73.9552526,https://www.yelp.com/biz/berry-park-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DMOwfdP0Va1QI_KNefD8kg
3,Twin Door Tavern,American (Traditional),3.5,$$,122 W Pleasant Ave,40.9057253,-74.0646445,https://www.yelp.com/biz/twin-door-tavern-maywood?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OP8-qZGuwYaUb1DoFeJqiA
4,Redds Restaurant & Biergarten,American (Traditional),3.5,$$,317 Washington Ave,40.817331,-74.065861,https://www.yelp.com/biz/redds-restaurant-and-biergarten-carlstadt-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8QVodl0JGDNyJmtBa8hChA
5,Kent Ale House,American (Traditional),4.0,$$,51 Kent Ave,40.7223281860352,-73.9592514038086,https://www.yelp.com/biz/kent-ale-house-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SBLoGGk936tFHg0gYSZ-ow
6,McQuades Neighborhood Grill,American (Traditional),3.5,$$,275 Merrick Rd,40.65756,-73.67012,https://www.yelp.com/biz/mcquades-neighborhood-grill-lynbrook?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,umDSO3r5_E9HfGR5QQij3g
7,Bronx Alehouse,American (Traditional),4.0,$$,216 W 238th St,40.8846317,-73.899705,https://www.yelp.com/biz/bronx-alehouse-bronx-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ciHt5n5rmpby1YcC_6JVrg
8,Cobblestones Pub and Biergarten,American (Traditional),3.5,$$,11718 Queens Blvd,40.7150622,-73.8327231,https://www.yelp.com/biz/cobblestones-pub-and-biergarten-forest-hills?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xkz2uUnAM2ckYIUqxI0NPw
9,Blind Tiger Ale House,American (Traditional),4.0,$$,281 Bleecker St,40.731926,-74.003223,https://www.yelp.com/biz/blind-tiger-ale-house-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PMp7WlHIXQUnej-Ds1jRfw
10,Phebe's,American (Traditional),3.5,$$,359 Bowery,40.72681,-73.9912901,https://www.yelp.com/biz/phebes-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pffG9Ciyks5Xik7opl2bEw
11,Grande Saloon,American (Traditional),3.5,$$,940 Van Houten Ave,40.8648356,-74.1597348,https://www.yelp.com/biz/grande-saloon-clifton?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,WCCY222sLsRfiNh6TQgfrw
12,Mudville9,American (Traditional),3.5,$$,126 Chambers St,40.71520852817451,-74.0089192,https://www.yelp.com/biz/mudville9-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,L0g4PLqpgWz0OkpGFbUTZA
13,Zeppelin Hall,American (Traditional),3.5,$$,88 Liberty View Dr,40.715132087537,-74.04667189924,https://www.yelp.com/biz/zeppelin-hall-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,P5X8K61nDAlo8QrgCn-agQ
14,Wallse,Austrian,4.0,$$$,344 W 11th St,40.7354552762594,-74.0082208400924,https://www.yelp.com/biz/wallse-new-york-8?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tV2IY8q92bOEwVC4McgPjw
15,Werkstatt,Austrian,4.5,$$,509 Coney Island Ave,40.645298,-73.970234,https://www.yelp.com/biz/werkstatt-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FXBrt0VpeBRengdd4fBOZw
16,Schilling,Austrian,4.0,$$,109 Washington St,40.70857,-74.014,https://www.yelp.com/biz/schilling-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZgyvDF_hOWas3SXe0Hj7hA
17,Andre's Hungarian,Bakeries,3.5,$$,100-28 Queens Blvd,40.7265535,-73.8535516,https://www.yelp.com/biz/andres-hungarian-forest-hills?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ozyAYd8hardDsx2_l57khA
18,Omonia Cafe - Astoria,Bakeries,3.0,$$,32-20 Broadway,40.7611121,-73.9240205,https://www.yelp.com/biz/omonia-cafe-astoria-astoria?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_OzfOh1aJM4PFCG-qpVknQ
