,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Avant Garden,American (New),4.5,$$$,130 E 7th St,40.7261499,-73.98402,https://www.yelp.com/biz/avant-garden-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jvPYm9rYK-5ddnjU30Oz4Q
1,Korai Kitchen,Bangladeshi,5.0,$$,576 Summit Ave,40.733896,-74.059151,https://www.yelp.com/biz/korai-kitchen-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3rZwXDjkyDLAHNSdPUI5WA
2,Tong,Bangladeshi,,,37-08 73rd St,40.749142,-73.892438,,
3,While In Kathmandu,Cafes,4.5,$$,758 Seneca Ave,40.7020642,-73.9067213,https://www.yelp.com/biz/while-in-kathmandu-ridgewood?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Scs2L-4imyt_lorJ6biFKA
4,Spice Symphony,Chinese,4.5,$$,150 E 50th St,40.7558937072754,-73.9715347290039,https://www.yelp.com/biz/spice-symphony-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,A-ert0jDRBfku9ogyW_mEg
5,Lahore Deli,Delis,4.0,$,132 Crosby St,40.72478,-73.99632,https://www.yelp.com/biz/lahore-deli-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MotfuoOFiEmOKOcRCnRhdA
6,Manhattan Indian Flavor,Desserts,,,311 2nd Ave,40.73504,-73.98321,,
7,Indian King Biryani House,Food Trucks,4.5,$,140 Broadway,40.708684,-74.010094,https://www.yelp.com/biz/indian-king-biryani-house-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,llzZ19xTIrueN5XBZi4zWg
8,Baar Baar,Gastropubs,4.0,$$$,13 E 1st St,40.7244378855031,-73.9915524,https://www.yelp.com/biz/baar-baar-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jYhbUh1TV7SCfPxjIhVpcg
9,Jalsa - Grill & Gravy,Halal,4.5,$$,964 Coney Island Ave,40.63393,-73.96746,https://www.yelp.com/biz/jalsa-grill-and-gravy-brooklyn-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fZOmB4eaVlnf6LIejL2vBg
10,Afghan Kabab and Grill House,Halal,,,1015 Manhattan Ave,40.73359,-73.95498,,
11,Himalayan Curry House Restaurant and Bar,Himalayan/Nepalese,4.5,$$,220 E 53rd St,40.757199,-73.96858,https://www.yelp.com/biz/himalayan-curry-house-restaurant-and-bar-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FqYgcc7Mk2XrYJ10OGgghQ
12,Himalayan Yak,Himalayan/Nepalese,4.0,$$,72-20 Roosevelt Ave,40.74647,-73.89275,https://www.yelp.com/biz/himalayan-yak-jackson-heights?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3C6c_zqRz_U2AyeN_7LTsg
13,Taste From Everest,Himalayan/Nepalese,,,102 Lexington Ave,40.7422712,-73.9830327,,
14,Cafe Himalaya,Himalayan/Nepalese,4.0,$$,78 E 1st St,40.7232289034083,-73.9879441220901,https://www.yelp.com/biz/cafe-himalaya-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,noBCTbD1Ylf5QR7PXy-rkA
15,Bawarchi Indian Cuisine,Indian,4.0,$$,1546 Madison Ave,40.792804,-73.950393,https://www.yelp.com/biz/bawarchi-indian-cuisine-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,D_xGTuIZqh1g6ie9QybcYw
16,Dil-e Punjab Deli,Indian,4.5,$,170 9th Ave,40.74482,-74.00206,https://www.yelp.com/biz/dil-e-punjab-deli-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yV7brOiTLS3Lmwws8e3nXA
17,Om Restaurant,Indian,4.0,$$,1531 York Ave,40.77268,-73.94981,https://www.yelp.com/biz/om-restaurant-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zVLG_O3AQnvQ53PSJ5mTMA
18,Ruchi,Indian,3.5,$$,120 Cedar St,40.709532,-74.012702,https://www.yelp.com/biz/ruchi-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HGNqWrRYJNyhJSS8yia8HQ
19,Dabangg,Indian,,,80 Nassau St,40.7098,-74.00806,,
20,Roti Roll Bombay Frankie,Indian,4.0,$,994 Amsterdam Ave,40.8026,-73.96437,https://www.yelp.com/biz/roti-roll-bombay-frankie-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Y2I946V78wOdwaUD9chmqg
21,Clove Garden of India,Indian,,,353 3rd St,40.74098120033596,-74.03529974417839,,
22,Kinara II Indian Restaurant,Indian,3.5,$$,368 Myrtle Ave,40.6930084228516,-73.971435546875,https://www.yelp.com/biz/kinara-ii-indian-restaurant-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,V4C5SzWmNkgPMjiCfEZ41g
23,Manhattan Valley,Indian,3.5,$$,2636 Broadway 100 St,40.797005967886,-73.9697319902153,https://www.yelp.com/biz/manhattan-valley-new-york-10?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,l_Td-NFRIdxu7m6pgJUqhQ
