,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Otis,American (New),5.0,$$,18 Harrison Pl,40.706011,-73.932598,https://www.yelp.com/biz/otis-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RfxOtJ4SQmEeVX_XjFLWUQ
1,LaRina Pastificio & Vino,Bars,4.0,$$,387 Myrtle Ave,40.6933631896973,-73.9704132080078,https://www.yelp.com/biz/larina-pastificio-and-vino-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vhqFa_0SG9M7Ra1OTmfB9A
2,Santa Panza,Bars,4.5,$$,1079 Broadway,40.6947,-73.93068,https://www.yelp.com/biz/santa-panza-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eTneVbjPKdo4gD9HfkDGdA
3,Tarallucci e Vino - East Village,Bars,4.0,$$,163 1st Ave,40.72896,-73.98454,https://www.yelp.com/biz/tarallucci-e-vino-east-village-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gqTikTCIS01E2m20PzHoDQ
4,Savelli,Bars,,,195 Smith St,40.685074,-73.991272,,
5,Lillo Cucina Italiana,Cafes,5.0,$$,331 Henry St,40.69023,-73.99634,https://www.yelp.com/biz/lillo-cucina-italiana-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qgY41g_eg0eNzewCXmKcaA
6,Ammazzacaffè,Cocktail Bars,4.5,$$,702 Grand St,40.7113172,-73.9446243,https://www.yelp.com/biz/ammazzacaff%C3%A8-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eMSTTuOUlKEnSOr8lPp3Xg
7,Dante West Village,Cocktail Bars,,,551 Hudson St,40.735202,-74.006251,,
8,Dante,Cocktail Bars,4.0,$$,79-81 Macdougal St,40.72879,-74.00165,https://www.yelp.com/biz/dante-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bW3mY-voyav37nU0uaLmNQ
9,Boucherie West Village,French,4.5,$$$,99 7th Ave S,40.733063,-74.0028772,https://www.yelp.com/biz/boucherie-west-village-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,s3jou_L_LVYGkNHiuhjlew
10,Osteria 57,Italian,4.5,$$$,57 W 10th St,40.73467,-73.99786,https://www.yelp.com/biz/osteria-57-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,T-RXDLq_VEv7s1_SooYIYQ
11,Briciola,Italian,4.0,$$,370 W 51st St,40.7637997047278,-73.9880919456482,https://www.yelp.com/biz/briciola-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MOwB9YYd-Ko6nVgSB-ltQw
12,Angeletto Restaurant,Italian,4.5,$$,890 2nd Ave,40.753188,-73.969365,https://www.yelp.com/biz/angeletto-restaurant-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7cjT33LfYSk7vrRdEaSr4w
