,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Westville Dumbo,American (New),4.0,$$,81 Washington St,40.70208865020039,-73.9894541379247,https://www.yelp.com/biz/westville-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,56qlj1cYlqNzmG0xllGg-w
1,The River Café,American (New),4.0,$$$$,1 Water St,40.70318,-73.9946499,https://www.yelp.com/biz/the-river-caf%C3%A9-brooklyn-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4XX-zF8h5Lvrr22_tqU6-Q
2,The Smith,American (New),4.0,$$,1900 Broadway,40.7716201269986,-73.9818377981476,https://www.yelp.com/biz/the-smith-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JYNBy2r3LVhJbLHE1bASfg
3,Traif,American (New),4.5,$$$$,229 S 4th St,40.710658,-73.958872,https://www.yelp.com/biz/traif-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qLLxS7RwNEjP_jq_KQrPfA
4,Ready To Eat,American (New),4.0,$$,525 Hudson St,40.73405,-74.00642,https://www.yelp.com/biz/ready-to-eat-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gPXDpeMmd95qDriKXYGjQQ
5,Gramercy Tavern,American (New),4.5,$$$$,42 E 20th St,40.73844,-73.98825,https://www.yelp.com/biz/gramercy-tavern-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,veq1Bl1DW3UWMekZJUsG1Q
6,Mulberry & Vine,American (New),4.0,$$,73 Warren St,40.715038079335514,-74.0101468023078,https://www.yelp.com/biz/mulberry-and-vine-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wP0s8Jv2eFRMfjFj7isYUw
7,Umami Burger - Brookfield Place,American (New),3.0,$$,225 Liberty St,40.713225,-74.015913,https://www.yelp.com/biz/umami-burger-brookfield-place-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tFQRwk9SVOFgpMBZ55UrLw
8,Gertie,American (New),4.0,$$,357 Grand St,40.712389,-73.9555675,https://www.yelp.com/biz/gertie-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gC7QKqUe2wrxUTxL11ab1A
9,Green Fig,American (New),3.5,$$,570 10th Ave,40.759171,-73.9954561,https://www.yelp.com/biz/green-fig-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2VDKr3954XX41KwEcbX7lg
