,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Ariana Afghan Kebab Restaurant,Afghan,4.0,$$,787 9th Ave,40.76515,-73.98813,https://www.yelp.com/biz/ariana-afghan-kebab-restaurant-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IFZ3_d01uflGixWrrD8_gg
1,The Quarter Brooklyn,American (New),4.0,$$,87 Lafayette Ave,40.6874192552749,-73.9748689904809,https://www.yelp.com/biz/the-quarter-brooklyn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HdYmIA2jRBbKnU1mGJ9a3Q
2,Victor,American (New),,,285 Nevins St,40.6795300180332,-73.98681309999999,,
3,Boutros,American (New),4.5,$$$,185 Atlantic Ave,40.6901481293837,-73.9935445412993,https://www.yelp.com/biz/boutros-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6G0urbBDz_CnYnGXApgUcw
4,Bijan's,American (New),4.0,$$,81 Hoyt St,40.68803,-73.98671,https://www.yelp.com/biz/bijans-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mXLrVoEi80WZaZ3agBP5Jw
5,Mulberry & Vine,American (New),,,55 Prospect St,40.700767,-73.988551,,
6,Dagon,Bars,4.5,$$$,2454 Broadway,40.791129,-73.973913,https://www.yelp.com/biz/dagon-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YDHUVTkQ5ioHaPOMVwQjWQ
7,Zamaan,Bars,,,8915 5th Ave,40.619385,-74.027803,,
8,Four Five Six,Bars,4.5,$$,199 Richardson St,40.719181,-73.943149,https://www.yelp.com/biz/four-five-six-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HuU2IGPfQ23FTOGDQg0Ieg
9,Reunion,Breakfast & Brunch,4.0,$$,544 Union Ave,40.7171,-73.95164,https://www.yelp.com/biz/reunion-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,sVkwEFET38Myz3dM1uZpiw
10,Jack's Wife Freda,Breakfast & Brunch,4.0,$$,224 Lafayette St,40.72213,-73.99756,https://www.yelp.com/biz/jacks-wife-freda-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Me4TxTbPPQZQopW1wOGx5g
11,Little Owl,Breakfast & Brunch,4.0,$$,90 Bedford St,40.7323808291402,-74.0053009986877,https://www.yelp.com/biz/little-owl-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,q1uIqB8PvyCCX8TajaRYBg
12,Golda,Breakfast & Brunch,4.0,$$,504 Franklin Ave,40.68151,-73.95591,https://www.yelp.com/biz/golda-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eOxGkxi5hEY426ww5qk3GA
13,Qahwah House,Cafes,5.0,$,162 Bedford Ave,40.7185628184474,-73.9571302649415,https://www.yelp.com/biz/qahwah-house-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kpxXi23lUQkeJQH-2BtzDw
14,Cafe Alula,Cafes,,,252 Franklin St,40.73461,-73.95822,,
15,Tammam Cafe,Cafes,,,735 Nostrand Ave,40.672205,-73.9501378,,
16,Luxor Feteer,Egyptian,,,3091 Steinway St,40.76153,-73.91651,,
17,Ba'al Cafe & Falafel,Falafel,4.5,$,71 Sullivan St,40.7244699,-74.0039,https://www.yelp.com/biz/baal-cafe-and-falafel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3-veNnRYcRfQ-OmnXrmfFA
18,Darna Falafel,Falafel,4.5,$,200 Court St,40.6870474589747,-73.9938177876969,https://www.yelp.com/biz/darna-falafel-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zvy4KOv2afqUSGin54_xxg
19,Taim West Village,Falafel,4.5,$$,222 Waverly Pl,40.736002376347,-74.0019588366439,https://www.yelp.com/biz/taim-west-village-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,j0n_poMVZnODYOFviLbh0Q
20,The Halal Guys,Food Stands,4.0,$,W 53rd St,40.761861,-73.979306,https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xEnNFXtMLDF5kZDxfaCJgA
21,Uncle Gussy's,Food Trucks,4.5,$,345 Park Ave,40.7576813278964,-73.9732953737526,https://www.yelp.com/biz/uncle-gussys-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VGTrGSH38A4n-v5nFe4skA
