,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Hot Potato House,American (New),4.5,$$,109 Oriental Blvd,40.5770903848785,-73.9526605958191,https://www.yelp.com/biz/hot-potato-house-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AVKRF3v3nvV1NtRc_apQ6g
1,Cafe Restaurant Volna,American (Traditional),2.0,$$,3145 Brighton 4th St,40.5754013061523,-73.9626770019531,https://www.yelp.com/biz/cafe-restaurant-volna-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5y3lsh4QeLCM3uNn36wXSw
2,Zeppelin Hall,American (Traditional),3.5,$$,88 Liberty View Dr,40.715132087537,-74.04667189924,https://www.yelp.com/biz/zeppelin-hall-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,P5X8K61nDAlo8QrgCn-agQ
3,Comfi,American (Traditional),4.5,$$,2638 Hwy 516,40.4038638,-74.3218678,https://www.yelp.com/biz/comfi-old-bridge-township?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0qaqUSscW-iYRY2oXO7e6g
4,Werkstatt,Austrian,4.5,$$,509 Coney Island Ave,40.645298,-73.970234,https://www.yelp.com/biz/werkstatt-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FXBrt0VpeBRengdd4fBOZw
5,Omonia Cafe - Astoria,Bakeries,3.0,$$,32-20 Broadway,40.7611121,-73.9240205,https://www.yelp.com/biz/omonia-cafe-astoria-astoria?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_OzfOh1aJM4PFCG-qpVknQ
6,Tandoori Food & Bakery,Bakeries,4.0,$$,9904 63rd Rd,40.7325468388103,-73.8561887462805,https://www.yelp.com/biz/tandoori-food-and-bakery-rego-park?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5RCrpBnI_3UdabG1lieknA
7,Budapest Cafe and Restaurant,Bakeries,3.5,$$,1631 2nd Ave,40.77715,-73.95264,https://www.yelp.com/biz/budapest-cafe-and-restaurant-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,u-1o6fSvTnqLBtqFuLFqNw
8,Polonia Bakery,Bakeries,4.0,$,204 Monroe St,40.866672,-74.122622,https://www.yelp.com/biz/polonia-bakery-passaic?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BLFJ4-JDT8XNmL_sIR1OJg
9,Ryan's BBQ,Barbeque,4.5,$$,239 Stuyvesant Ave,40.81539,-74.12566,https://www.yelp.com/biz/ryans-bbq-lyndhurst?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VZBuV56yUnyf8ZKyvTnfDQ
