,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,The Waterfront NYC,American (New),,,500 Hutchinson River Pkwy,40.8112556,-73.8352813,,
1,Essex Pearl,American (New),,,115 Delancey St,40.717871,-73.988199,,
2,21 Greenpoint,American (New),4.0,$$$,21 Greenpoint Ave,40.72978,-73.95992,https://www.yelp.com/biz/21-greenpoint-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,f-WkzzSaAA_mdDmsKlJ4sw
3,Walter's,American (New),4.0,$$,166 DeKalb Ave,40.6894111633301,-73.973258972168,https://www.yelp.com/biz/walters-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,moaPtBNbQ5VNu2Z0ilCVGQ
4,High Street On Hudson,American (New),4.0,$$,637 Hudson St,40.73888,-74.00574,https://www.yelp.com/biz/high-street-on-hudson-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Oq1mej1BYfjcdPKkM_5o8g
5,The Osprey,American (New),4.0,$$,60 Furman St,40.702241,-73.995539,https://www.yelp.com/biz/the-osprey-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,q11TljTQd33XCWlVoPyRqg
6,Jibs,American (New),,,350 11th Ave,40.754070046953146,-74.0026987,,
7,Atrium Dumbo,American (New),4.0,$$,15 Main St,40.7033899,-73.9904923,https://www.yelp.com/biz/atrium-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hmdm-dO72hLsMQwQRcGEUQ
8,The River Café,American (New),4.0,$$$$,1 Water St,40.70318,-73.9946499,https://www.yelp.com/biz/the-river-caf%C3%A9-brooklyn-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4XX-zF8h5Lvrr22_tqU6-Q
9,Blue Ribbon Brasserie - SoHo,American (Traditional),4.5,$$$,97 Sullivan St,40.725456,-74.003027,https://www.yelp.com/biz/blue-ribbon-brasserie-soho-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,txSykTj5nbwmpiVNoK_Dyg
10,Pier 66 Maritime,American (Traditional),3.0,$$,W 26th St,40.752197,-74.009167,https://www.yelp.com/biz/pier-66-maritime-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,80jmHsdVmeYxaoAHaegKyQ
11,Bungalow Bar,American (Traditional),4.0,$$,377 Beach 92nd St,40.5890639,-73.817172,https://www.yelp.com/biz/bungalow-bar-rockaway-beach?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,edLi09LmjWXgL1NOCJ4qjA
12,Le Sia,Asian Fusion,4.5,$$$,651 9th Ave,40.76072,-73.99119,https://www.yelp.com/biz/le-sia-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,C3tP0fNNAoxOAC3O406CXQ
