,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Hearth,American (New),4.0,$$$,403 East 12th St,40.730006,-73.983225,https://www.yelp.com/biz/hearth-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7Oq1UdUHUGZGH_QI6N-0LQ
1,The Wheelhouse,American (New),4.0,$$,165 Wilson Ave,40.700122,-73.924188,https://www.yelp.com/biz/the-wheelhouse-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,oXnJEg_AScyrR1lO4dnAfw
2,The Bluebell Cafe,American (New),4.0,$$,293 3rd Ave,40.73845,-73.98321,https://www.yelp.com/biz/the-bluebell-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,63nYipWuA42RZmESBMUNkQ
3,Upland,American (New),4.0,$$$,345 Park Ave S,40.7418912,-73.9846396,https://www.yelp.com/biz/upland-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xkvv0n7jbl4Ra3Vm_jfxaA
4,BLACKBARN,American (New),4.0,$$$,19 E 26th St,40.7431036278527,-73.9870538457459,https://www.yelp.com/biz/blackbarn-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Lw044EfH1h3XhUhri3ExfA
5,Robert,American (New),4.0,$$$,2 Columbus Cir,40.767394,-73.982036,https://www.yelp.com/biz/robert-new-york-25?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,h8XLhVVPoYPYodZqQOjRMw
6,Purbird,American (New),4.0,$$,82 Sixth Ave,40.67985,-73.97518,https://www.yelp.com/biz/purbird-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,shTLI1GCcZ9rosFdt8d2Xg
7,Harvest Kitchen,American (New),4.0,$$,269 Columbus Ave,40.777697,-73.978357,https://www.yelp.com/biz/harvest-kitchen-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PYmjoid5P-Mw8dkkKxZy6w
8,Union Square Cafe,American (New),4.0,$$$,101 E 19th St,40.737772,-73.987876,https://www.yelp.com/biz/union-square-cafe-new-york-8?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,lXGCo-K7eftxRT_6E59-Iw
9,Tribeca's Kitchen,American (New),4.0,$$,200 Church St,40.7162705535921,-74.0072225927912,https://www.yelp.com/biz/tribecas-kitchen-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MHtbBc2np3sR7jiV9GphNg
